Fst FstMax ratio subject
0.158893790654406 0.995276379428101 0.159647906791186 XAA
0.0112517854784789 0.71059096796126 0.0158344054256152 XAC
0.0124447068240501 0.851900467769625 0.0146081699621926 XAD
0.153354926443639 0.980402054189471 0.156420445865367 XBA
0.0316369207613094 0.902682448604346 0.0350476746393195 XBB
0.0353702692294935 0.978286560152154 0.0361553257196872 XCA
0.0118492435505314 0.513431896881326 0.02307851074798 XCB
0.108917775903109 0.996540964658517 0.109295834055785 XDA
0.00555452541052064 0.493602639222248 0.011253030209224 XDB
0.107179508840999 0.983150160244015 0.109016418015329 XEA
0.0077403874549682 0.30091186403594 0.0257231049356157 XEB
0.0454946352547434 0.984998966480567 0.0461874954217436 XFA
0.0037079663664879 0.340361052132423 0.0108942146677971 XFB
0.0432507983234361 0.981418802302107 0.0440696654903931 XGA
0.0112839248592504 0.881314086025298 0.0128035226466657 XGB
0.033747547979807 0.565925604137604 0.0596324812538458 XGC
0.0210452832771669 0.894854583778535 0.0235181041240275 XHA
0.0403919126132118 0.841339133825238 0.0480090738553498 XHB
0.0284107545757675 0.977327513624004 0.0290698401300689 XHC
0.0323677191220185 0.998668451483408 0.032410875775579 XIA
0.00802243994958384 0.852971025793714 0.00940529010597838 XIB
0.0342600820399022 0.9998541812105 0.0342650785321759 XIC
0.0627257818333572 0.976241477304856 0.0642523220858495 XJA
0.0377377760200691 0.834753635997783 0.0452082798956138 XJB
0.254877612285025 0.974495303103929 0.26154832298647 XKA
0.0169454360157408 0.991500285788845 0.0170907020992524 XKB
0.0331936566934398 0.983892771776687 0.0337370673366159 XLA
0.0236168918459646 0.82828591459327 0.0285129704971038 XLB
0.0999712703660297 0.987436898647028 0.101243198935556 XMA
0.0131613139846166 0.42895982429689 0.0306819269291463 XMB
0.0485774901458871 0.987864249846218 0.0491742566384493 XNA
0.0247022939949387 0.951262234163615 0.0259679120097287 XNB
0.126517550637719 0.978476554621393 0.129300543830274 XOA
0.00911495007871392 0.815008202280055 0.0111838752704747 XOB
0.030492590377264 0.988910998755468 0.0308345143452127 XPA
0.00795069822525889 0.72646456509582 0.0109443716972076 XPB
0.0419650687808747 0.994411425209355 0.0422009117323243 XQA
0.0231689776531367 0.434043397023234 0.053379403562028 XQB
0.0312122052967392 0.990337715280981 0.0315167289048298 XRA
0.0164644477828186 0.992191157050735 0.0165940279409049 XRB
0.0967911756069672 0.993105993352231 0.0974630867751069 XSA
0.0195456483198984 0.461239785418152 0.0423763277536404 XSB
0.106553843749378 0.99892014513036 0.106669030821751 XTA
0.00267423996480352 0.332529179641887 0.00804212119875768 XTB
0.0424496968252067 0.996510628614132 0.042598338247774 XUA
0.00509544031331766 0.463430696246812 0.0109950427422787 XUB
0.0406453384971211 0.985462671117428 0.0412449296035058 XVA
0.0062897425678337 0.621654736199972 0.0101177425370896 XVB
