Fst FstMax ratio subject
0.172212815602204 0.942277999273196 0.182762216389469 XAA
0.0112517854784789 0.71059096796126 0.0158344054256152 XAC
0.0124447068240501 0.851900467769625 0.0146081699621926 XAD
0.109797936094161 0.486766311499333 0.225566012890175 XBA
0.0427243812840403 0.826495577394365 0.0516934179112421 XBB
0.0243751378923346 0.971358665964142 0.0250938595046563 XCA
0.0118492435505314 0.513431896881326 0.02307851074798 XCB
0.128159604260052 0.901870746481168 0.142104181513917 XDA
0.00555452541052064 0.493602639222248 0.011253030209224 XDB
0.171348258649606 0.740621532278604 0.231357381849856 XEA
0.0077403874549682 0.30091186403594 0.0257231049356157 XEB
0.031752574959968 0.934014308524603 0.0339958121306786 XFA
0.0037079663664879 0.340361052132423 0.0108942146677971 XFB
0.0275802188329509 0.438983113462108 0.0628275165653531 XGA
0.0112839248592504 0.881314086025298 0.0128035226466657 XGB
0.033747547979807 0.565925604137604 0.0596324812538458 XGC
0.0210452832771669 0.894854583778535 0.0235181041240275 XHA
0.0403919126132118 0.841339133825238 0.0480090738553498 XHB
0.0190492384277426 0.94003350904804 0.0202644248788892 XHC
0.0131870270916411 0.511039084984139 0.0258043415447381 XIA
0.00802243994958384 0.852971025793714 0.00940529010597838 XIB
0.0327353509086341 0.875251790976942 0.0374010670370585 XIC
0.0981062005121343 0.930896190557801 0.105388980540728 XJA
0.0377377760200691 0.834753635997783 0.0452082798956138 XJB
0.232860433836556 0.868413652895824 0.268144602586632 XKA
0.0169454360157408 0.991500285788845 0.0170907020992524 XKB
0.0340284819351833 0.849234008345855 0.040069617562142 XLA
0.0236168918459646 0.82828591459327 0.0285129704971038 XLB
0.0400065767451389 0.428651373581015 0.0933312692104966 XMA
0.0131613139846166 0.42895982429689 0.0306819269291463 XMB
0.0384742206393856 0.38154692388905 0.100837454662781 XNA
0.0247022939949387 0.951262234163615 0.0259679120097287 XNB
0.0225198520551423 0.887155952449835 0.0253843216550087 XOA
0.00911495007871392 0.815008202280055 0.0111838752704747 XOB
0.0123608075528361 0.470975903797166 0.0262450954564323 XPA
0.00795069822525889 0.72646456509582 0.0109443716972076 XPB
0.0285299353530635 0.496572559657458 0.0574537090264187 XQA
0.0231689776531367 0.434043397023234 0.053379403562028 XQB
0.0137623596931254 0.92120599971843 0.0149395028878795 XRA
0.0164644477828186 0.992191157050735 0.0165940279409049 XRB
0.120919996582371 0.841548152832443 0.143687555103512 XSA
0.0195456483198984 0.461239785418152 0.0423763277536404 XSB
0.156559357341135 0.849081294626763 0.184386769949932 XTA
0.00267423996480352 0.332529179641887 0.00804212119875768 XTB
0.0154513358949255 0.20890829132579 0.0739622912851716 XUA
0.00509544031331766 0.463430696246812 0.0109950427422787 XUB
0.0248409893905365 0.851975607716002 0.0291569255804528 XVA
0.0062897425678337 0.621654736199972 0.0101177425370896 XVB
