subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 47 strain2 Bacteroides_faecis_58503 0 0 0
XBA 47 strain3 Bacteroides_faecis_58503 0 0 0
XBA 47 strainUnknown Bacteroides_faecis_58503 0 0 0
XBA 48 strain1 Bacteroides_faecis_58503 0 0 0
XBA 48 strain2 Bacteroides_faecis_58503 0 0 0
XBA 48 strain3 Bacteroides_faecis_58503 0 0 0
XBA 48 strainUnknown Bacteroides_faecis_58503 0 0 0
XBA 49 strain1 Bacteroides_faecis_58503 9.77949347899e-06 0 0
XBA 49 strain2 Bacteroides_faecis_58503 9.77949347899e-06 0 0
XBA 49 strain3 Bacteroides_faecis_58503 9.77949347899e-06 0 0
XBA 49 strainUnknown Bacteroides_faecis_58503 9.77949347899e-06 0 9.77949347899e-06
XBA 50 strain1 Bacteroides_faecis_58503 0 0 0
XBA 50 strain2 Bacteroides_faecis_58503 0 0 0
XBA 50 strain3 Bacteroides_faecis_58503 0 0 0
XBA 50 strainUnknown Bacteroides_faecis_58503 0 0 0
XBA 53 strain1 Bacteroides_faecis_58503 0.00931000493692 0 0
XBA 53 strain2 Bacteroides_faecis_58503 0.00931000493692 1 0.00931000493692
XBA 53 strain3 Bacteroides_faecis_58503 0.00931000493692 0 0
XBA 53 strainUnknown Bacteroides_faecis_58503 0.00931000493692 0 0
XBA 58 strain1 Bacteroides_faecis_58503 0.00616154213642 0 0
XBA 58 strain2 Bacteroides_faecis_58503 0.00616154213642 0 0
XBA 58 strain3 Bacteroides_faecis_58503 0.00616154213642 0 0
XBA 58 strainUnknown Bacteroides_faecis_58503 0.00616154213642 0 0.00616154213642
XBA 64 strain1 Bacteroides_faecis_58503 2.04350215441e-05 0 0
XBA 64 strain2 Bacteroides_faecis_58503 2.04350215441e-05 0 0
XBA 64 strain3 Bacteroides_faecis_58503 2.04350215441e-05 0 0
XBA 64 strainUnknown Bacteroides_faecis_58503 2.04350215441e-05 0 2.04350215441e-05
XBA 106 strain1 Bacteroides_faecis_58503 7.46215744419e-05 0 0
XBA 106 strain2 Bacteroides_faecis_58503 7.46215744419e-05 0 0
XBA 106 strain3 Bacteroides_faecis_58503 7.46215744419e-05 0 0
XBA 106 strainUnknown Bacteroides_faecis_58503 7.46215744419e-05 0 7.46215744419e-05
XBA 134 strain1 Bacteroides_faecis_58503 0.001255213155 0 0
XBA 134 strain2 Bacteroides_faecis_58503 0.001255213155 0 0
XBA 134 strain3 Bacteroides_faecis_58503 0.001255213155 0 0
XBA 134 strainUnknown Bacteroides_faecis_58503 0.001255213155 0 0.001255213155
XBA 171 strain1 Bacteroides_faecis_58503 0.000330738275929 0 0
XBA 171 strain2 Bacteroides_faecis_58503 0.000330738275929 0 0
XBA 171 strain3 Bacteroides_faecis_58503 0.000330738275929 0 0
XBA 171 strainUnknown Bacteroides_faecis_58503 0.000330738275929 0 0.000330738275929
XBA 240 strain1 Bacteroides_faecis_58503 3.70339664903e-05 0 0
XBA 240 strain2 Bacteroides_faecis_58503 3.70339664903e-05 0 0
XBA 240 strain3 Bacteroides_faecis_58503 3.70339664903e-05 0 0
XBA 240 strainUnknown Bacteroides_faecis_58503 3.70339664903e-05 0 3.70339664903e-05
XBA 272 strain1 Bacteroides_faecis_58503 1.27389290855e-05 0 0
XBA 272 strain2 Bacteroides_faecis_58503 1.27389290855e-05 0 0
XBA 272 strain3 Bacteroides_faecis_58503 1.27389290855e-05 0 0
XBA 272 strainUnknown Bacteroides_faecis_58503 1.27389290855e-05 0 1.27389290855e-05
XBA 303 strain1 Bacteroides_faecis_58503 0.000163183576549 0 0
XBA 303 strain2 Bacteroides_faecis_58503 0.000163183576549 0 0
XBA 303 strain3 Bacteroides_faecis_58503 0.000163183576549 0 0
XBA 303 strainUnknown Bacteroides_faecis_58503 0.000163183576549 0 0.000163183576549
XBA 330 strain1 Bacteroides_faecis_58503 0.0104239196932 0 0
XBA 330 strain2 Bacteroides_faecis_58503 0.0104239196932 1 0.0104239196932
XBA 330 strain3 Bacteroides_faecis_58503 0.0104239196932 0 0
XBA 330 strainUnknown Bacteroides_faecis_58503 0.0104239196932 0 0
XBA 351 strain1 Bacteroides_faecis_58503 0.00224564029776 0 0
