sample annotationSample annotation numSpecies totRelAbundance
XGC-064 XGC-001 strainsUnknown 17 0.154741945359868
XHA-003 XHA-064 speciesNotShared 96 0.0522108540609737
XHA-003 XHA-064 strainsShared 20 0.89930786788736
XHA-003 XHA-064 strainsUnknown 32 0.048481278052001
XHA-064 XHA-003 speciesNotShared 103 0.0545095152750265
XHA-064 XHA-003 strainsShared 20 0.83594768298116
XHA-064 XHA-003 strainsUnknown 20 0.109542801742813
XHB-001 XHB-064 speciesNotShared 51 0.0444207700474882
XHB-001 XHB-064 strainsNotShared 1 0.01130853358
XHB-001 XHB-064 strainsShared 12 0.83916209208062
XHB-001 XHB-064 strainsUnknown 34 0.105108604292187
XHB-064 XHB-001 speciesNotShared 76 0.0757245550182544
XHB-064 XHB-001 strainsNotShared 1 0.0198697797362
XHB-064 XHB-001 strainsShared 12 0.7975831698223
XHB-064 XHB-001 strainsUnknown 33 0.106822495423997
XHC-001 XHC-064 speciesNotShared 90 0.0341908104878357
XHC-001 XHC-064 strainsShared 26 0.87866496123677
XHC-001 XHC-064 strainsUnknown 22 0.087144228275438
XHC-064 XHC-001 speciesNotShared 108 0.0186499520512503
XHC-064 XHC-001 strainsShared 26 0.90844654472079
XHC-064 XHC-001 strainsUnknown 29 0.0729035032282386
XIA-002 XIA-064 speciesNotShared 96 0.0714320107580656
XIA-002 XIA-064 strainsShared 21 0.77632162462963
XIA-002 XIA-064 strainsUnknown 22 0.152246364612488
XIA-064 XIA-002 speciesNotShared 101 0.0207345390369663
XIA-064 XIA-002 strainsShared 21 0.87569080845401
XIA-064 XIA-002 strainsUnknown 35 0.103574652509102
XIB-002 XIB-064 speciesNotShared 78 0.0164213751344802
XIB-002 XIB-064 strainsShared 22 0.86104987273098
XIB-002 XIB-064 strainsUnknown 34 0.122528752134713
XIB-064 XIB-002 speciesNotShared 78 0.0289646864246147
XIB-064 XIB-002 strainsShared 22 0.88916047390275
XIB-064 XIB-002 strainsUnknown 31 0.081874839672456
XIC-008 XIC-064 speciesNotShared 69 0.00985832169223439
XIC-008 XIC-064 strainsShared 32 0.91813938945362
XIC-008 XIC-064 strainsUnknown 33 0.0720022888548196
XIC-064 XIC-008 speciesNotShared 89 0.0532388243541884
XIC-064 XIC-008 strainsShared 32 0.8307425316867
XIC-064 XIC-008 strainsUnknown 24 0.116018643959704
XJA-001 XJA-064 speciesNotShared 83 0.0441784484297081
XJA-001 XJA-064 strainsShared 5 0.8133023977024
XJA-001 XJA-064 strainsUnknown 33 0.142519153868258
XJA-064 XJA-001 speciesNotShared 92 0.0827059315277511
XJA-064 XJA-001 strainsShared 5 0.8026471610071
XJA-064 XJA-001 strainsUnknown 28 0.114646907464402
XJB-001 XJB-064 speciesNotShared 181 0.00954073634732364
XJB-001 XJB-064 strainsShared 17 0.74598471045468
XJB-001 XJB-064 strainsUnknown 14 0.244474553197945
XJB-064 XJB-001 speciesNotShared 107 0.0148036872702089
XJB-064 XJB-001 strainsShared 17 0.80251120498912
XJB-064 XJB-001 strainsUnknown 12 0.182685107740496
XKA-001 XKA-064 speciesNotShared 100 0.24748878756112
XKA-001 XKA-064 strainsNotShared 1 0.0104433681877
XKA-001 XKA-064 strainsShared 7 0.44120234031673
XKA-001 XKA-064 strainsUnknown 14 0.300865503934307
XKA-064 XKA-001 speciesNotShared 106 0.672175500759207
XKA-064 XKA-001 strainsNotShared 1 0.00739445894615
XKA-064 XKA-001 strainsShared 7 0.06007880129541
XKA-064 XKA-001 strainsUnknown 11 0.260351238999139
XKB-001 XKB-064 speciesNotShared 159 0.0195521161543418
XKB-001 XKB-064 strainsShared 19 0.90446410031424
XKB-001 XKB-064 strainsUnknown 15 0.0759837835312129
XKB-064 XKB-001 speciesNotShared 135 0.0356924377146143
XKB-064 XKB-001 strainsShared 19 0.79045499569113
XKB-064 XKB-001 strainsUnknown 11 0.173852566594764
XLA-001 XLA-064 speciesNotShared 144 0.0947796096616124
XLA-001 XLA-064 strainsShared 21 0.87040057627659
XLA-001 XLA-064 strainsUnknown 15 0.034819814061107
XLA-064 XLA-001 speciesNotShared 101 0.0259974876217017
XLA-064 XLA-001 strainsShared 21 0.84307761172919
XLA-064 XLA-001 strainsUnknown 16 0.130924900648934
XLB-001 XLB-064 speciesNotShared 75 0.0243250437778325
XLB-001 XLB-064 strainsShared 23 0.90889334095677
XLB-001 XLB-064 strainsUnknown 25 0.0667816152646369
XLB-064 XLB-001 speciesNotShared 121 0.0447615943315448
XLB-064 XLB-001 strainsShared 23 0.90616297935793
XLB-064 XLB-001 strainsUnknown 20 0.0490754263104842
XMA-001 XMA-064 speciesNotShared 98 0.280317868718521
XMA-001 XMA-064 strainsShared 16 0.55195523012757
XMA-001 XMA-064 strainsUnknown 16 0.167726901153431
XMA-064 XMA-001 speciesNotShared 145 0.0337065206366497
XMA-064 XMA-001 strainsShared 16 0.76839188599829
XMA-064 XMA-001 strainsUnknown 14 0.197901593364315
XMB-001 XMB-064 speciesNotShared 51 0.00937268244546788
XMB-001 XMB-064 strainsShared 26 0.84919225712253
XMB-001 XMB-064 strainsUnknown 43 0.14143506043216
XMB-064 XMB-001 speciesNotShared 92 0.0358643638633416
XMB-064 XMB-001 strainsShared 26 0.77267526366019
XMB-064 XMB-001 strainsUnknown 32 0.19146037247659
XNA-001 XNA-064 speciesNotShared 105 0.204412478475123
XNA-001 XNA-064 strainsShared 19 0.71573974270113
XNA-001 XNA-064 strainsUnknown 24 0.0798477788240207
XNA-064 XNA-001 speciesNotShared 143 0.0611271883078302
XNA-064 XNA-001 strainsShared 19 0.88101601682997
XNA-064 XNA-001 strainsUnknown 29 0.0578567948627182
XNB-001 XNB-064 speciesNotShared 92 0.040704702537697
XNB-001 XNB-064 strainsNotShared 1 0.00272322165756
XNB-001 XNB-064 strainsShared 19 0.9276242641913
XNB-001 XNB-064 strainsUnknown 12 0.028947811613866
XNB-064 XNB-001 speciesNotShared 67 0.00869754798396358
XNB-064 XNB-001 strainsNotShared 1 0.0040315730271
XNB-064 XNB-001 strainsShared 19 0.96160360656513
XNB-064 XNB-001 strainsUnknown 17 0.025667272423786
XOA-001 XOA-064 speciesNotShared 87 0.0244900725027101
XOA-001 XOA-064 strainsNotShared 1 0.0141721089318
XOA-001 XOA-064 strainsShared 8 0.8922412729735
XOA-001 XOA-064 strainsUnknown 29 0.0690965455917453
XOA-064 XOA-001 speciesNotShared 124 0.0606527133281206
XOA-064 XOA-001 strainsNotShared 1 0.0270698461308
XOA-064 XOA-001 strainsShared 8 0.8614330533109
XOA-064 XOA-001 strainsUnknown 18 0.0508443872305685
XOB-001 XOB-064 speciesNotShared 127 0.0187169365968999
XOB-001 XOB-064 strainsShared 28 0.88594209070641
XOB-001 XOB-064 strainsUnknown 29 0.0953409726971824
XOB-064 XOB-001 speciesNotShared 139 0.0555513299663628
XOB-064 XOB-001 strainsShared 28 0.88178069080946
XOB-064 XOB-001 strainsUnknown 20 0.0626679792237915
XPA-002 XPA-072 speciesNotShared 118 0.307982328074527
XPA-002 XPA-072 strainsShared 27 0.633454107906937
XPA-002 XPA-072 strainsUnknown 6 0.058563564017783
XPA-072 XPA-002 speciesNotShared 86 0.0243107726560647
XPA-072 XPA-002 strainsShared 27 0.93776495123673
XPA-072 XPA-002 strainsUnknown 7 0.0379242761067105
XPB-008 XPB-063 speciesNotShared 96 0.0369575760647842
XPB-008 XPB-063 strainsShared 31 0.84542546219405
XPB-008 XPB-063 strainsUnknown 25 0.117616961741289
XPB-063 XPB-008 speciesNotShared 79 0.0178470968720932
XPB-063 XPB-008 strainsShared 31 0.85465890279112
XPB-063 XPB-008 strainsUnknown 26 0.127494000337965
XQA-001 XQA-064 speciesNotShared 109 0.0359993911826173
XQA-001 XQA-064 strainsShared 48 0.928506822320015
XQA-001 XQA-064 strainsUnknown 12 0.035493786497586
