sample annotationSample annotation numSpecies totRelAbundance
XAA-036 XAD-003 strainsUnknown 14 0.906710596049453
XAA-036 XAD-029 speciesNotShared 54 0.0887915321897283
XAA-036 XAD-029 strainsUnknown 17 0.911208467809373
XAA-036 XAD-036 speciesNotShared 55 0.0891534348802023
XAA-036 XAD-036 strainsUnknown 16 0.910846565118899
XAA-036 XAD-063 speciesNotShared 56 0.103539104719522
XAA-036 XAD-063 strainsUnknown 15 0.896460895279579
XAA-036 XAD-225 speciesNotShared 54 0.0878662357486516
XAA-036 XAD-225 strainsUnknown 17 0.91213376425045
XAA-064 XAA-002 speciesNotShared 126 0.232192299812423
XAA-064 XAA-002 strainsUnknown 8 0.767807700186616
XAA-064 XAA-029 speciesNotShared 121 0.536430285401876
XAA-064 XAA-029 strainsUnknown 13 0.463569714597164
XAA-064 XAA-036 speciesNotShared 115 0.518248471045519
XAA-064 XAA-036 strainsUnknown 19 0.481751528953521
XAA-064 XAA-064 speciesNotShared 101 0.00967648932440949
XAA-064 XAA-064 strainsUnknown 33 0.99032351067463
XAA-064 XAA-652 speciesNotShared 116 0.151335774689279
XAA-064 XAA-652 strainsUnknown 18 0.84866422530976
XAA-064 XAC-002 speciesNotShared 121 0.551011061299215
XAA-064 XAC-002 strainsNotShared 1 0.00224643019453
XAA-064 XAC-002 strainsUnknown 12 0.446742508505295
XAA-064 XAC-029 speciesNotShared 125 0.548760541966211
XAA-064 XAC-029 strainsNotShared 2 0.03527846494963
XAA-064 XAC-029 strainsUnknown 7 0.415960993083199
XAA-064 XAC-036 speciesNotShared 125 0.584088711205388
XAA-064 XAC-036 strainsNotShared 1 0.00224643019453
XAA-064 XAC-036 strainsUnknown 8 0.413664858599121
XAA-064 XAC-064 speciesNotShared 127 0.589723637747858
XAA-064 XAC-064 strainsNotShared 1 0.00224643019453
XAA-064 XAC-064 strainsUnknown 6 0.408029932056652
XAA-064 XAC-224 speciesNotShared 122 0.559356546641896
XAA-064 XAC-224 strainsNotShared 2 0.03527846494963
XAA-064 XAC-224 strainsUnknown 10 0.405364988407514
XAA-064 XAD-003 speciesNotShared 120 0.162154620355981
XAA-064 XAD-003 strainsNotShared 4 0.40859135028438
XAA-064 XAD-003 strainsUnknown 10 0.429254029358678
XAA-064 XAD-029 speciesNotShared 115 0.106428713401781
XAA-064 XAD-029 strainsNotShared 2 0.36241219654953
XAA-064 XAD-029 strainsUnknown 17 0.531159090047728
XAA-064 XAD-036 speciesNotShared 119 0.147934679844181
XAA-064 XAD-036 strainsNotShared 1 0.360165766355
XAA-064 XAD-036 strainsUnknown 14 0.491899553799858
XAA-064 XAD-063 speciesNotShared 118 0.136726751254075
XAA-064 XAD-063 strainsNotShared 4 0.40859135028438
XAA-064 XAD-063 strainsUnknown 12 0.454681898460585
XAA-064 XAD-225 speciesNotShared 117 0.148160764376797
XAA-064 XAD-225 strainsNotShared 4 0.40859135028438
XAA-064 XAD-225 strainsUnknown 13 0.443247885337862
XAA-652 XAA-002 speciesNotShared 96 0.371921080127748
XAA-652 XAA-002 strainsUnknown 17 0.628078919871796
XAA-652 XAA-029 speciesNotShared 91 0.45172734808655
XAA-652 XAA-029 strainsUnknown 22 0.548272651912995
XAA-652 XAA-036 speciesNotShared 103 0.89102578994986
XAA-652 XAA-036 strainsUnknown 10 0.108974210049685
XAA-652 XAA-064 speciesNotShared 87 0.795941678806709
XAA-652 XAA-064 strainsUnknown 26 0.204058321192836
XAA-652 XAA-652 speciesNotShared 70 0.0150838272615244
XAA-652 XAA-652 strainsUnknown 43 0.98491617273802
XAA-652 XAC-002 speciesNotShared 89 0.386277209356084
XAA-652 XAC-002 strainsNotShared 7 0.4592694567495
XAA-652 XAC-002 strainsShared 1 0.00465461142311
XAA-652 XAC-002 strainsUnknown 16 0.14979872247085
XAA-652 XAC-029 speciesNotShared 90 0.418525028925672
XAA-652 XAC-029 strainsNotShared 7 0.43641896042587
XAA-652 XAC-029 strainsShared 1 0.00465461142311
XAA-652 XAC-029 strainsUnknown 15 0.140401399224893
XAA-652 XAC-036 speciesNotShared 94 0.43190081164716
XAA-652 XAC-036 strainsNotShared 6 0.39885227017977
XAA-652 XAC-036 strainsShared 1 0.00465461142311
XAA-652 XAC-036 strainsUnknown 12 0.164592306749504
XAA-652 XAC-064 speciesNotShared 98 0.44409566515054
XAA-652 XAC-064 strainsNotShared 6 0.4268017705581
XAA-652 XAC-064 strainsShared 1 0.00465461142311
XAA-652 XAC-064 strainsUnknown 8 0.124447952867794
XAA-652 XAC-224 speciesNotShared 87 0.383900326729556
XAA-652 XAC-224 strainsNotShared 4 0.37174525290667
XAA-652 XAC-224 strainsUnknown 22 0.244354420363318
XAA-652 XAD-003 speciesNotShared 89 0.479289131306077
XAA-652 XAD-003 strainsNotShared 4 0.34429025901527
XAA-652 XAD-003 strainsUnknown 20 0.176420609678198
XAA-652 XAD-029 speciesNotShared 85 0.467513779817778
XAA-652 XAD-029 strainsNotShared 5 0.3737393796645
XAA-652 XAD-029 strainsUnknown 23 0.158746840517267
XAA-652 XAD-036 speciesNotShared 89 0.4851043322294
XAA-652 XAD-036 strainsNotShared 4 0.34429025901527
XAA-652 XAD-036 strainsUnknown 20 0.170605408754875
XAA-652 XAD-063 speciesNotShared 88 0.47728151856498
XAA-652 XAD-063 strainsNotShared 4 0.34429025901527
XAA-652 XAD-063 strainsUnknown 21 0.178428222419294
XAA-652 XAD-225 speciesNotShared 89 0.485728077231209
XAA-652 XAD-225 strainsNotShared 4 0.34429025901527
XAA-652 XAD-225 strainsUnknown 20 0.169981663753066
XAC-002 XAA-002 speciesNotShared 89 0.413281326621941
XAC-002 XAA-002 strainsNotShared 8 0.38093965685032
XAC-002 XAA-002 strainsShared 1 0.0132441220888
XAC-002 XAA-002 strainsUnknown 17 0.192534894439249
XAC-002 XAA-029 speciesNotShared 82 0.30927767287852
XAC-002 XAA-029 strainsNotShared 2 0.336395870197
XAC-002 XAA-029 strainsUnknown 31 0.354326456924789
XAC-002 XAA-036 speciesNotShared 102 0.915430612868991
XAC-002 XAA-036 strainsUnknown 13 0.0845693871313193
XAC-002 XAA-064 speciesNotShared 96 0.692219901906127
XAC-002 XAA-064 strainsNotShared 1 0.182245355892
XAC-002 XAA-064 strainsUnknown 18 0.125534742202183
XAC-002 XAA-652 speciesNotShared 83 0.47499146383481
XAC-002 XAA-652 strainsNotShared 7 0.36465547316501
XAC-002 XAA-652 strainsShared 1 0.00597808503
XAC-002 XAA-652 strainsUnknown 24 0.15437497797049
XAC-002 XAC-002 speciesNotShared 73 0.0109684790978798
XAC-002 XAC-002 strainsUnknown 42 0.98903152090243
XAC-002 XAC-029 speciesNotShared 73 0.0173803869976965
XAC-002 XAC-029 strainsUnknown 42 0.982619613002613
XAC-002 XAC-036 speciesNotShared 79 0.0215344244131228
XAC-002 XAC-036 strainsUnknown 36 0.978465575587187
XAC-002 XAC-064 speciesNotShared 85 0.0474681753593618
XAC-002 XAC-064 strainsUnknown 30 0.952531824640948
XAC-002 XAC-224 speciesNotShared 71 0.0172004761886603
XAC-002 XAC-224 strainsUnknown 44 0.982799523811649
XAC-002 XAD-003 speciesNotShared 94 0.681083367492239
XAC-002 XAD-003 strainsNotShared 4 0.21491347279677
XAC-002 XAD-003 strainsUnknown 17 0.104003159711301
XAC-002 XAD-029 speciesNotShared 89 0.469001949087767
XAC-002 XAD-029 strainsNotShared 3 0.23796147449487
XAC-002 XAD-029 strainsUnknown 23 0.293036576417673
XAC-002 XAD-036 speciesNotShared 91 0.679611060312501
XAC-002 XAD-036 strainsNotShared 2 0.05571611860287
XAC-002 XAD-036 strainsUnknown 22 0.264672821084939
XAC-002 XAD-063 speciesNotShared 89 0.673552210377697
XAC-002 XAD-063 strainsNotShared 1 0.00592876926917
XAC-002 XAD-063 strainsUnknown 25 0.320519020353442
XAC-002 XAD-225 speciesNotShared 88 0.459936706130322
XAC-002 XAD-225 strainsNotShared 2 0.05571611860287
XAC-002 XAD-225 strainsUnknown 25 0.484347175267118
XAC-029 XAA-002 speciesNotShared 115 0.392809850384898
XAC-029 XAA-002 strainsNotShared 10 0.45556051696019
XAC-029 XAA-002 strainsShared 1 0.0218653272472
XAC-029 XAA-002 strainsUnknown 11 0.129764305408327
XAC-029 XAA-029 speciesNotShared 107 0.271466834993921
XAC-029 XAA-029 strainsNotShared 3 0.3531472252241
XAC-029 XAA-029 strainsUnknown 27 0.375385939782594
XAC-029 XAA-036 speciesNotShared 126 0.955487065249067
XAC-029 XAA-036 strainsUnknown 11 0.0445129347515479
XAC-029 XAA-064 speciesNotShared 117 0.685853901636469
XAC-029 XAA-064 strainsNotShared 2 0.2182198462504
XAC-029 XAA-064 strainsUnknown 18 0.0959262521137465
XAC-029 XAA-652 speciesNotShared 107 0.467815281916939
XAC-029 XAA-652 strainsNotShared 7 0.37757959914079
XAC-029 XAA-652 strainsShared 1 0.0216701944488
XAC-029 XAA-652 strainsUnknown 22 0.132934924494086
XAC-029 XAC-002 speciesNotShared 95 0.024203821440992
XAC-029 XAC-002 strainsUnknown 42 0.975796178559623
XAC-029 XAC-029 speciesNotShared 95 0.012655460279975
XAC-029 XAC-029 strainsUnknown 42 0.98734453972064
XAC-029 XAC-036 speciesNotShared 101 0.055487203527207
