subject	timepoint	sample
XBA	272	XBA-272
XBA	275	XBA-275
XBA	280	XBA-280
XBA	289	XBA-289
XBA	296	XBA-296
XBA	303	XBA-303
XBA	309	XBA-309
XBA	316	XBA-316
XBA	325	XBA-325
XBA	330	XBA-330
XBA	338	XBA-338
XBA	346	XBA-346
XBA	351	XBA-351
XBA	358	XBA-358
XBA	364	XBA-364
XBA	374	XBA-374
XBA	380	XBA-380
XBA	388	XBA-388
XBA	395	XBA-395
XBA	401	XBA-401
XBA	408	XBA-408
XBA	415	XBA-415
XBA	422	XBA-422
XBA	430	XBA-430
XBA	436	XBA-436
XBA	442	XBA-442
XBA	455	XBA-455
XBA	463	XBA-463
XBA	470	XBA-470
XBA	478	XBA-478
XBA	482	XBA-482
XBA	491	XBA-491
XBA	513	XBA-513
XBA	519	XBA-519
XBA	534	XBA-534
XBA	541	XBA-541
XBA	550	XBA-550
XBA	557	XBA-557
XBA	568	XBA-568
XBA	577	XBA-577
XBA	582	XBA-582
XBA	589	XBA-589
XBA	597	XBA-597
XBA	610	XBA-610
XBA	617	XBA-617
XBA	625	XBA-625
XBA	641	XBA-641
XBA	650	XBA-650
XBA	653	XBA-653
XBA	677	XBA-677
XBA	698	XBA-698
XBA	705	XBA-705
XBA	706	XBA-706
XBA	707	XBA-707
XBA	709	XBA-709
XBA	710	XBA-710
XBA	712	XBA-712
XBA	713	XBA-713
XBA	714	XBA-714
XBA	716	XBA-716
XBA	718	XBA-718
XBA	722	XBA-722
XBA	727	XBA-727
XBA	734	XBA-734
XBA	742	XBA-742
XBA	749	XBA-749
XBA	754	XBA-754
XBA	767	XBA-767
XBA	779	XBA-779
XBA	787	XBA-787
XBA	794	XBA-794
XBA	806	XBA-806
XBA	813	XBA-813
XBA	821	XBA-821
XBA	828	XBA-828
XBA	835	XBA-835
XBA	849	XBA-849
XBA	871	XBA-871
XBA	897	XBA-897
XBA	898	XBA-898
XBA	901	XBA-901
XBA	907	XBA-907
XBA	910	XBA-910
XBB	1	XBB-001
XBB	2	XBB-002
XBB	3	XBB-003
XBB	4	XBB-004
XBB	6	XBB-006
XBB	7	XBB-007
XBB	8	XBB-008
XBB	9	XBB-009
XBB	10	XBB-010
XBB	11	XBB-011
XBB	12	XBB-012
XBB	13	XBB-013
XBB	14	XBB-014
XBB	16	XBB-016
XBB	18	XBB-018
XBB	20	XBB-020
XBB	21	XBB-021
XBB	22	XBB-022
XBB	23	XBB-023
XBB	24	XBB-024
XBB	25	XBB-025
XBB	26	XBB-026
XBB	27	XBB-027
XBB	29	XBB-029
XBB	30	XBB-030
XBB	31	XBB-031
XBB	33	XBB-033
XBB	34	XBB-034
XBB	35	XBB-035
XBB	36	XBB-036
XBB	37	XBB-037
XBB	38	XBB-038
XBB	39	XBB-039
XBB	40	XBB-040
XBB	41	XBB-041
XBB	42	XBB-042
XBB	43	XBB-043
XBB	44	XBB-044
XBB	45	XBB-045
XBB	46	XBB-046
XBB	47	XBB-047
XBB	48	XBB-048
XBB	50	XBB-050
XBB	51	XBB-051
XBB	52	XBB-052
XBB	53	XBB-053
XBB	54	XBB-054
XBB	56	XBB-056
XBB	57	XBB-057
XBB	59	XBB-059
XBB	60	XBB-060
XBB	61	XBB-061
XBB	62	XBB-062
XBB	63	XBB-063
XBB	64	XBB-064
XBB	65	XBB-065
XBB	66	XBB-066
XBB	67	XBB-067
XBB	68	XBB-068
XBB	69	XBB-069
XBB	70	XBB-070
XBB	72	XBB-072
XBB	73	XBB-073
XBB	74	XBB-074
XBB	75	XBB-075
XBB	76	XBB-076
