species_id sample subjectSharedTimepointInitial subjectSharedTimepointFinal subjectSharedTimepointLastSequenced strainTurnover timeOfStrainTurnover
Bacteroides_vulgatus_57955 XAA-014 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-021 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-022 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-023 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-024 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-026 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-027 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-028 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-029 TRUE NA FALSE TRUE 454
Bacteroides_vulgatus_57955 XAA-454 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-488 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-522 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-555 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-590 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-623 FALSE NA TRUE TRUE 454
Bacteroides_vulgatus_57955 XAA-652 FALSE NA NA TRUE 454
Bifidobacterium_longum_57796 XAA-454 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-488 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-522 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-555 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-590 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-623 FALSE NA TRUE TRUE 454
Bifidobacterium_longum_57796 XAA-652 FALSE NA NA TRUE 454
Bilophila_wadsworthia_57364 XAA-028 TRUE NA NA FALSE NA
Blautia_wexlerae_56130 XAA-028 FALSE NA FALSE TRUE 28
Blautia_wexlerae_56130 XAA-454 FALSE NA TRUE TRUE 28
Blautia_wexlerae_56130 XAA-488 FALSE NA TRUE TRUE 28
Blautia_wexlerae_56130 XAA-623 FALSE NA TRUE TRUE 28
Blautia_wexlerae_56130 XAA-652 FALSE NA NA TRUE 28
Eubacterium_rectale_56927 XAA-010 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-014 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-021 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-022 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-023 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-026 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-027 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAA-028 TRUE NA NA FALSE NA
Eubacterium_ventriosum_61474 XAA-028 TRUE NA NA FALSE NA
Faecalibacterium_cf_62236 XAA-623 FALSE NA TRUE TRUE 623
Faecalibacterium_cf_62236 XAA-652 FALSE NA NA TRUE 623
Faecalibacterium_prausnitzii_57453 XAA-010 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-014 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-021 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-022 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-023 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-024 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-026 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-027 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-028 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAA-029 TRUE NA NA FALSE NA
Guyana_massiliensis_60772 XAA-014 TRUE NA NA FALSE NA
Guyana_massiliensis_60772 XAA-028 TRUE NA NA FALSE NA
Parabacteroides_distasonis_56985 XAA-021 TRUE NA FALSE TRUE 590
Parabacteroides_distasonis_56985 XAA-022 TRUE NA FALSE TRUE 590
Parabacteroides_distasonis_56985 XAA-028 TRUE NA FALSE TRUE 590
Parabacteroides_distasonis_56985 XAA-590 FALSE NA TRUE TRUE 590
Parabacteroides_distasonis_56985 XAA-623 FALSE NA TRUE TRUE 590
Parabacteroides_distasonis_56985 XAA-652 FALSE NA NA TRUE 590
Parabacteroides_merdae_56972 XAA-014 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-021 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-022 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-023 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-024 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-027 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAA-028 TRUE NA NA FALSE NA
Phascolarctobacterium_sp_59817 XAA-023 TRUE NA NA FALSE NA
Phascolarctobacterium_sp_59817 XAA-026 TRUE NA NA FALSE NA
Phascolarctobacterium_sp_59817 XAA-028 TRUE NA NA FALSE NA
Roseburia_inulinivorans_61943 XAA-026 TRUE NA NA FALSE NA
Roseburia_inulinivorans_61943 XAA-027 TRUE NA NA FALSE NA
Roseburia_inulinivorans_61943 XAA-028 TRUE NA NA FALSE NA
Ruminococcus_sp_55468 XAA-623 FALSE NA NA FALSE NA
Alistipes_shahii_62199 XAC-029 TRUE TRUE TRUE FALSE NA
Alistipes_shahii_62199 XAC-036 TRUE TRUE TRUE FALSE NA
Alistipes_shahii_62199 XAC-064 TRUE NA NA FALSE NA
Alistipes_shahii_62199 XAC-224 TRUE TRUE NA FALSE NA
Bacteroides_ovatus_58035 XAC-064 TRUE NA NA FALSE NA
Bacteroides_ovatus_58035 XAC-224 TRUE TRUE NA FALSE NA
Bacteroides_salyersiae_54873 XAC-029 TRUE TRUE NA FALSE NA
Bacteroides_salyersiae_54873 XAC-064 TRUE NA NA FALSE NA
Bacteroides_thetaiotaomicron_56941 XAC-029 TRUE TRUE TRUE FALSE NA
Bacteroides_thetaiotaomicron_56941 XAC-036 TRUE TRUE TRUE FALSE NA
Bacteroides_thetaiotaomicron_56941 XAC-064 TRUE NA NA FALSE NA
Bacteroides_thetaiotaomicron_56941 XAC-224 TRUE TRUE NA FALSE NA
Bacteroides_uniformis_57318 XAC-029 TRUE TRUE TRUE FALSE NA
Bacteroides_uniformis_57318 XAC-036 TRUE TRUE TRUE FALSE NA
Bacteroides_uniformis_57318 XAC-064 TRUE NA NA FALSE NA
Bacteroides_uniformis_57318 XAC-224 TRUE TRUE NA FALSE NA
Bacteroides_vulgatus_57955 XAC-029 TRUE TRUE TRUE FALSE NA
Bacteroides_vulgatus_57955 XAC-036 TRUE TRUE TRUE FALSE NA
Bacteroides_vulgatus_57955 XAC-064 TRUE NA NA FALSE NA
Bacteroides_vulgatus_57955 XAC-224 TRUE TRUE NA FALSE NA
Blautia_wexlerae_56130 XAC-224 TRUE TRUE NA FALSE NA
Clostridiales_bacterium_61057 XAC-029 TRUE TRUE NA FALSE NA
Clostridiales_bacterium_61057 XAC-036 TRUE TRUE NA FALSE NA
Clostridiales_bacterium_61057 XAC-064 TRUE NA NA FALSE NA
Coprococcus_comes_61587 XAC-029 TRUE NA NA FALSE NA
Eubacterium_eligens_61678 XAC-029 TRUE TRUE TRUE FALSE NA
Eubacterium_eligens_61678 XAC-036 TRUE TRUE TRUE FALSE NA
Eubacterium_eligens_61678 XAC-064 TRUE NA NA FALSE NA
Eubacterium_eligens_61678 XAC-224 TRUE TRUE NA FALSE NA
Eubacterium_rectale_56927 XAC-029 TRUE TRUE TRUE FALSE NA
Eubacterium_rectale_56927 XAC-036 TRUE TRUE TRUE FALSE NA
Eubacterium_rectale_56927 XAC-064 TRUE NA NA FALSE NA
Eubacterium_rectale_56927 XAC-224 TRUE TRUE NA FALSE NA
Faecalibacterium_prausnitzii_57453 XAC-029 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_57453 XAC-036 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_57453 XAC-224 TRUE TRUE NA FALSE NA
Faecalibacterium_prausnitzii_61481 XAC-029 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_61481 XAC-036 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_61481 XAC-064 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_61481 XAC-224 TRUE TRUE NA FALSE NA
Faecalibacterium_prausnitzii_62201 XAC-029 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_62201 XAC-036 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_62201 XAC-064 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_62201 XAC-224 TRUE TRUE NA FALSE NA
Guyana_massiliensis_60772 XAC-029 TRUE NA TRUE FALSE NA
Guyana_massiliensis_60772 XAC-036 TRUE NA TRUE FALSE NA
Guyana_massiliensis_60772 XAC-224 TRUE NA NA FALSE NA
Megamonas_hypermegale_57114 XAC-029 TRUE NA TRUE FALSE NA
Megamonas_hypermegale_57114 XAC-036 TRUE NA TRUE FALSE NA
Megamonas_hypermegale_57114 XAC-224 TRUE NA NA FALSE NA
Parabacteroides_distasonis_56985 XAC-029 TRUE TRUE NA FALSE NA
Parabacteroides_distasonis_56985 XAC-036 TRUE TRUE NA FALSE NA
Parabacteroides_distasonis_56985 XAC-064 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAC-029 TRUE TRUE TRUE FALSE NA
Parabacteroides_merdae_56972 XAC-036 TRUE TRUE TRUE FALSE NA
Parabacteroides_merdae_56972 XAC-064 TRUE NA NA FALSE NA
Parabacteroides_merdae_56972 XAC-224 TRUE TRUE NA FALSE NA
Phascolarctobacterium_sp_59817 XAC-029 TRUE TRUE TRUE FALSE NA
Phascolarctobacterium_sp_59817 XAC-036 TRUE TRUE TRUE FALSE NA
Phascolarctobacterium_sp_59817 XAC-064 TRUE NA NA FALSE NA
Phascolarctobacterium_sp_59817 XAC-224 TRUE TRUE NA FALSE NA
Anaerostipes_hadrus_55206 XAD-029 TRUE TRUE TRUE FALSE NA
Anaerostipes_hadrus_55206 XAD-036 TRUE TRUE TRUE FALSE NA
Anaerostipes_hadrus_55206 XAD-063 TRUE NA NA FALSE NA
Anaerostipes_hadrus_55206 XAD-225 TRUE TRUE NA FALSE NA
Bacteroides_fragilis_54507 XAD-029 TRUE TRUE TRUE FALSE NA
Bacteroides_fragilis_54507 XAD-036 TRUE TRUE TRUE FALSE NA
Bacteroides_fragilis_54507 XAD-063 TRUE NA NA FALSE NA
Bacteroides_fragilis_54507 XAD-225 TRUE TRUE NA FALSE NA
Bacteroides_vulgatus_57955 XAD-029 TRUE TRUE TRUE FALSE NA
Bacteroides_vulgatus_57955 XAD-036 TRUE TRUE TRUE FALSE NA
Bacteroides_vulgatus_57955 XAD-063 TRUE NA NA FALSE NA
Bacteroides_vulgatus_57955 XAD-225 TRUE TRUE NA FALSE NA
Bacteroides_xylanisolvens_57185 XAD-029 TRUE TRUE TRUE FALSE NA
Bacteroides_xylanisolvens_57185 XAD-036 TRUE TRUE TRUE FALSE NA
Bacteroides_xylanisolvens_57185 XAD-063 TRUE NA NA FALSE NA
Bacteroides_xylanisolvens_57185 XAD-225 TRUE TRUE NA FALSE NA
Clostridiales_bacterium_52743 XAD-063 TRUE NA NA FALSE NA
Clostridiales_bacterium_52743 XAD-225 TRUE TRUE NA FALSE NA
Coprobacter_fastidiosus_56550 XAD-029 TRUE TRUE TRUE FALSE NA
Coprobacter_fastidiosus_56550 XAD-036 TRUE TRUE TRUE FALSE NA
Coprobacter_fastidiosus_56550 XAD-063 TRUE NA NA FALSE NA
Coprobacter_fastidiosus_56550 XAD-225 TRUE TRUE NA FALSE NA
Dialister_invisus_61905 XAD-063 TRUE NA NA FALSE NA
Dialister_invisus_61905 XAD-225 TRUE TRUE NA FALSE NA
Dorea_longicatena_59913 XAD-063 TRUE NA NA FALSE NA
Escherichia_coli_58110 XAD-029 TRUE TRUE NA FALSE NA
Eubacterium_ramulus_59802 XAD-036 TRUE TRUE TRUE FALSE NA
Eubacterium_ramulus_59802 XAD-063 TRUE NA NA FALSE NA
Eubacterium_ramulus_59802 XAD-225 TRUE TRUE NA FALSE NA
Eubacterium_ventriosum_61474 XAD-036 TRUE TRUE NA FALSE NA
Eubacterium_ventriosum_61474 XAD-063 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_62201 XAD-029 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_62201 XAD-036 TRUE TRUE TRUE FALSE NA
Faecalibacterium_prausnitzii_62201 XAD-063 TRUE NA NA FALSE NA
Faecalibacterium_prausnitzii_62201 XAD-225 TRUE TRUE NA FALSE NA
Parabacteroides_distasonis_56985 XAD-029 TRUE TRUE TRUE FALSE NA
Parabacteroides_distasonis_56985 XAD-036 TRUE TRUE TRUE FALSE NA
Parabacteroides_distasonis_56985 XAD-063 TRUE NA NA FALSE NA
Parabacteroides_distasonis_56985 XAD-225 TRUE TRUE NA FALSE NA
Ruminococcus_gnavus_57638 XAD-063 TRUE NA NA FALSE NA
Ruminococcus_sp_55468 XAD-029 TRUE TRUE TRUE FALSE NA
Ruminococcus_sp_55468 XAD-036 TRUE TRUE TRUE FALSE NA
Ruminococcus_sp_55468 XAD-063 TRUE NA NA FALSE NA
Ruminococcus_sp_55468 XAD-225 TRUE TRUE NA FALSE NA
Alistipes_finegoldii_56071 XBA-008 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-015 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-022 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-023 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-024 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-025 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-026 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-027 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-028 TRUE NA NA FALSE NA
Alistipes_finegoldii_56071 XBA-029 TRUE NA NA FALSE NA
Anaerostipes_hadrus_55206 XBA-029 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-008 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-015 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-022 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-023 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-024 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-025 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-026 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-027 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-028 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-029 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-030 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-044 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-045 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-046 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-053 TRUE NA NA FALSE NA
Bacteroides_cellulosilyticus_58046 XBA-330 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-008 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-015 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-022 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-023 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-024 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-025 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-026 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-027 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-028 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-029 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-030 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-045 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-046 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-053 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-330 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-351 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-388 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-430 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-436 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-442 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-455 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-463 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-470 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-478 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-482 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-491 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-513 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-519 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-534 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-541 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-550 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-557 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-568 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-577 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-582 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-589 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-597 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-610 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-617 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-625 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-641 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-650 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-653 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-677 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-698 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-705 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-706 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-707 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-709 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-710 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-712 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-713 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-714 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-716 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-718 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-722 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-734 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-742 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-749 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-754 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-767 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-779 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-787 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-794 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-806 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-813 TRUE NA NA FALSE NA
