sample subject timepoint hh
XLA-001 XLA 1 XL
XLA-029 XLA 29 XL
XLA-036 XLA 36 XL
XLA-064 XLA 64 XL
XLA-148 XLA 148 XL
XLB-001 XLB 1 XL
XLB-029 XLB 29 XL
XLB-036 XLB 36 XL
XLB-064 XLB 64 XL
XLB-172 XLB 172 XL
XMA-001 XMA 1 XM
XMA-029 XMA 29 XM
XMA-036 XMA 36 XM
XMA-064 XMA 64 XM
XMA-116 XMA 116 XM
XMA-180 XMA 180 XM
XMB-001 XMB 1 XM
XMB-029 XMB 29 XM
XMB-036 XMB 36 XM
XMB-064 XMB 64 XM
XMB-116 XMB 116 XM
XMB-180 XMB 180 XM
XNA-001 XNA 1 XN
XNA-029 XNA 29 XN
XNA-036 XNA 36 XN
XNA-064 XNA 64 XN
XNB-001 XNB 1 XN
XNB-029 XNB 29 XN
XNB-036 XNB 36 XN
XOA-001 XOA 1 XO
XOA-029 XOA 29 XO
XOA-036 XOA 36 XO
XOA-064 XOA 64 XO
XOA-129 XOA 129 XO
XOB-001 XOB 1 XO
XOB-028 XOB 28 XO
XOB-036 XOB 36 XO
XOB-064 XOB 64 XO
XOB-129 XOB 129 XO
XPA-002 XPA 2 XP
XPA-029 XPA 29 XP
XPA-036 XPA 36 XP
XPA-072 XPA 72 XP
XPA-151 XPA 151 XP
XPB-008 XPB 8 XP
XPB-028 XPB 28 XP
XPB-036 XPB 36 XP
XPB-063 XPB 63 XP
XPB-139 XPB 139 XP
XQA-001 XQA 1 XQ
XQA-029 XQA 29 XQ
XQA-036 XQA 36 XQ
XQA-064 XQA 64 XQ
XQA-133 XQA 133 XQ
XQB-001 XQB 1 XQ
XQB-029 XQB 29 XQ
XQB-036 XQB 36 XQ
XQB-064 XQB 64 XQ
XQB-133 XQB 133 XQ
XRA-001 XRA 1 XR
XRA-029 XRA 29 XR
XRA-036 XRA 36 XR
XRA-064 XRA 64 XR
XRA-153 XRA 153 XR
XRB-002 XRB 2 XR
XRB-029 XRB 29 XR
XRB-036 XRB 36 XR
XRB-059 XRB 59 XR
XRB-153 XRB 153 XR
XSA-001 XSA 1 XS
XSA-029 XSA 29 XS
XSA-036 XSA 36 XS
XSA-064 XSA 64 XS
XSB-001 XSB 1 XS
XSB-029 XSB 29 XS
XSB-036 XSB 36 XS
XSB-064 XSB 64 XS
XSB-147 XSB 147 XS
XTA-001 XTA 1 XT
XTA-029 XTA 29 XT
XTA-036 XTA 36 XT
XTA-064 XTA 64 XT
XTB-001 XTB 1 XT
XTB-028 XTB 28 XT
XTB-038 XTB 38 XT
XTB-065 XTB 65 XT
XUA-001 XUA 1 XU
XUA-029 XUA 29 XU
XUA-036 XUA 36 XU
XUA-064 XUA 64 XU
XUA-129 XUA 129 XU
XUB-001 XUB 1 XU
XUB-029 XUB 29 XU
XUB-036 XUB 36 XU
XUB-064 XUB 64 XU
XUB-130 XUB 130 XU
XVA-001 XVA 1 XV
XVA-029 XVA 29 XV
XVA-036 XVA 36 XV
XVA-064 XVA 64 XV
XVA-129 XVA 129 XV
XVB-001 XVB 1 XV
XVB-027 XVB 27 XV
XVB-036 XVB 36 XV
XVB-064 XVB 64 XV
XVB-129 XVB 129 XV
YBA-260 YBA 260 YB
YBB-260 YBB 260 YB
YBC-260 YBC 260 YB
YEB-001 YEB 1 YE
YEB-002 YEB 2 YE
YFC-001 YFC 1 YF
YFC-064 YFC 64 YF
ZAA-263 ZAA 263 ZA
ZAA-326 ZAA 326 ZA
ZAB-256 ZAB 256 ZA
ZAB-326 ZAB 326 ZA
ZAC-263 ZAC 263 ZA
ZAC-326 ZAC 326 ZA
ZCA-260 ZCA 260 ZC
ZCA-323 ZCA 323 ZC
ZCB-261 ZCB 261 ZC
ZCB-323 ZCB 323 ZC
ZDA-260 ZDA 260 ZD
ZDA-324 ZDA 324 ZD
ZDB-261 ZDB 261 ZD
ZDB-324 ZDB 324 ZD
XAA-010 XAA 10 XA
XAA-014 XAA 14 XA
XAA-021 XAA 21 XA
XAA-022 XAA 22 XA
XAA-023 XAA 23 XA
XAA-024 XAA 24 XA
XAA-026 XAA 26 XA
XAA-027 XAA 27 XA
XAA-029 XAA 29 XA
XAA-030 XAA 30 XA
XAA-031 XAA 31 XA
XAA-033 XAA 33 XA
XAA-034 XAA 34 XA
XAA-035 XAA 35 XA
XAA-036 XAA 36 XA
XAA-037 XAA 37 XA
XAA-042 XAA 42 XA
XAA-050 XAA 50 XA
XAA-057 XAA 57 XA
XAA-623 XAA 623 XA
XBA-008 XBA 8 XB
XBA-015 XBA 15 XB
XBA-022 XBA 22 XB
XBA-023 XBA 23 XB
XBA-024 XBA 24 XB
XBA-025 XBA 25 XB
XBA-026 XBA 26 XB
XBA-027 XBA 27 XB
XBA-028 XBA 28 XB
XBA-030 XBA 30 XB
XBA-037 XBA 37 XB
XBA-039 XBA 39 XB
XBA-040 XBA 40 XB
XBA-041 XBA 41 XB
XBA-042 XBA 42 XB
XBA-044 XBA 44 XB
XBA-050 XBA 50 XB
XBA-058 XBA 58 XB
XBA-380 XBA 380 XB
XBA-415 XBA 415 XB
XBA-455 XBA 455 XB
XBA-482 XBA 482 XB
XBA-519 XBA 519 XB
XBA-557 XBA 557 XB
XBA-597 XBA 597 XB
XBB-380 XBB 380 XB
XBB-415 XBB 415 XB
XBB-456 XBB 456 XB
XBB-519 XBB 519 XB
XBB-555 XBB 555 XB
XBB-597 XBB 597 XB
XCA-008 XCA 8 XC
XCA-015 XCA 15 XC
XCA-022 XCA 22 XC
XCA-023 XCA 23 XC
XCA-024 XCA 24 XC
XCA-025 XCA 25 XC
XCA-026 XCA 26 XC
XCA-027 XCA 27 XC
XCA-028 XCA 28 XC
XCA-030 XCA 30 XC
XCA-031 XCA 31 XC
XCA-032 XCA 32 XC
XCA-033 XCA 33 XC
XCA-034 XCA 34 XC
XCA-035 XCA 35 XC
XCA-037 XCA 37 XC
XCA-038 XCA 38 XC
XCA-039 XCA 39 XC
XCA-040 XCA 40 XC
XCA-044 XCA 44 XC
XCA-050 XCA 50 XC
XCA-057 XCA 57 XC
