sample annotationSample totalSpecies speciesShared numSpeciesShared relAbundanceSpeciesShared hh1 hh2 type
XAA-002 XRB-002 30 TRUE 17 0.65247203224849 XA XR diffHousehold
XAA-002 XSA-001 30 FALSE 16 0.39910057229774 XA XS diffHousehold
XAA-002 XSA-001 30 TRUE 14 0.58817366666313 XA XS diffHousehold
XAA-002 XSB-001 30 FALSE 10 0.29382115266372 XA XS diffHousehold
XAA-002 XSB-001 30 TRUE 20 0.69345308629715 XA XS diffHousehold
XAA-002 XTA-001 30 FALSE 9 0.29533204269837 XA XT diffHousehold
XAA-002 XTA-001 30 TRUE 21 0.6919421962625 XA XT diffHousehold
XAA-002 XTB-001 30 FALSE 5 0.06881733428558 XA XT diffHousehold
XAA-002 XTB-001 30 TRUE 25 0.91845690467529 XA XT diffHousehold
XAA-002 XUA-001 30 FALSE 7 0.13703173656612 XA XU diffHousehold
XAA-002 XUA-001 30 TRUE 23 0.85024250239475 XA XU diffHousehold
XAA-002 XUB-001 30 FALSE 7 0.27454262541592 XA XU diffHousehold
XAA-002 XUB-001 30 TRUE 23 0.71273161354495 XA XU diffHousehold
XAA-002 XVA-001 30 FALSE 11 0.38173097194457 XA XV diffHousehold
XAA-002 XVA-001 30 TRUE 19 0.6055432670163 XA XV diffHousehold
XAA-002 XVB-001 30 FALSE 7 0.08027099948388 XA XV diffHousehold
XAA-002 XVB-001 30 TRUE 23 0.90700323947699 XA XV diffHousehold
XAC-002 XAA-002 42 FALSE 24 0.40427969177855 XA XA sameHousehold
XAC-002 XAA-002 42 TRUE 18 0.58475182912388 XA XA sameHousehold
XAC-002 XAC-002 42 TRUE 42 0.98903152090243 XA XA sameSubject
XAC-002 XAD-003 42 FALSE 30 0.67406505752188 XA XA sameHousehold
XAC-002 XAD-003 42 TRUE 12 0.31496646338055 XA XA sameHousehold
XAC-002 XBA-001 42 FALSE 21 0.34252957496627 XA XB diffHousehold
XAC-002 XBA-001 42 TRUE 21 0.64650194593616 XA XB diffHousehold
XAC-002 XBB-001 42 FALSE 21 0.34181204763624 XA XB diffHousehold
XAC-002 XBB-001 42 TRUE 21 0.64721947326619 XA XB diffHousehold
