species bait numPrivateSNPsTotal
Akkermansia_muciniphila_55290 YBC-435 660
Akkermansia_muciniphila_55290 ZCA-001 482
Akkermansia_muciniphila_55290 ZCA-064 572
Akkermansia_muciniphila_55290 ZCA-260 636
Akkermansia_muciniphila_55290 ZCA-323 605
Akkermansia_muciniphila_55290 ZCB-001 561
Akkermansia_muciniphila_55290 ZCB-064 605
Akkermansia_muciniphila_55290 ZCB-261 571
Akkermansia_muciniphila_55290 ZCB-323 586
Akkermansia_muciniphila_55290 ZDA-413 815
Akkermansia_muciniphila_55290 ZDB-324 784
Akkermansia_muciniphila_55290 ZDB-411 647
Akkermansia_muciniphila_55290 ZEA-064 448
Alistipes_finegoldii_56071 XBA-001 799
Alistipes_finegoldii_56071 XBA-008 854
Alistipes_finegoldii_56071 XBA-015 821
Alistipes_finegoldii_56071 XBA-022 822
Alistipes_finegoldii_56071 XBA-023 672
Alistipes_finegoldii_56071 XBA-024 855
Alistipes_finegoldii_56071 XBA-025 809
Alistipes_finegoldii_56071 XBA-026 758
Alistipes_finegoldii_56071 XBA-027 801
Alistipes_finegoldii_56071 XBA-028 853
Alistipes_finegoldii_56071 XBA-029 901
Alistipes_finegoldii_56071 XCA-001 318
Alistipes_finegoldii_56071 XCA-036 344
Alistipes_finegoldii_56071 XCA-258 397
Alistipes_finegoldii_56071 XCA-317 410
Alistipes_finegoldii_56071 XCA-805 444
Alistipes_finegoldii_56071 XCB-001 328
Alistipes_finegoldii_56071 XCB-029 318
Alistipes_finegoldii_56071 XCB-036 297
Alistipes_finegoldii_56071 XCB-064 367
Alistipes_finegoldii_56071 XCB-258 302
Alistipes_finegoldii_56071 XCB-310 295
Alistipes_finegoldii_56071 XCB-410 355
Alistipes_finegoldii_56071 XCB-604 436
Alistipes_finegoldii_56071 XCB-804 348
Alistipes_finegoldii_56071 XDA-038 406
Alistipes_finegoldii_56071 XDA-039 469
Alistipes_finegoldii_56071 XDA-044 498
Alistipes_finegoldii_56071 XDA-050 445
Alistipes_finegoldii_56071 XDA-057 485
Alistipes_finegoldii_56071 XDA-064 448
Alistipes_finegoldii_56071 XDA-268 439
Alistipes_finegoldii_56071 XDA-330 437
Alistipes_finegoldii_56071 XDA-417 465
Alistipes_finegoldii_56071 XDA-460 471
Alistipes_finegoldii_56071 XDA-513 414
Alistipes_finegoldii_56071 XDA-556 459
Alistipes_finegoldii_56071 XDA-706 464
Alistipes_finegoldii_56071 XDA-816 472
Alistipes_finegoldii_56071 XEB-001 410
Alistipes_finegoldii_56071 XEB-029 383
Alistipes_finegoldii_56071 XEB-036 407
Alistipes_finegoldii_56071 XEB-064 379
Alistipes_finegoldii_56071 XFA-029 300
Alistipes_finegoldii_56071 XFB-001 522
Alistipes_finegoldii_56071 XFB-029 656
Alistipes_finegoldii_56071 XFB-064 508
Alistipes_finegoldii_56071 XFB-313 570
Alistipes_finegoldii_56071 XGC-001 377
Alistipes_finegoldii_56071 XGC-029 458
Alistipes_finegoldii_56071 XGC-037 454
Alistipes_finegoldii_56071 XGC-064 456
Alistipes_finegoldii_56071 XGC-252 444
Alistipes_finegoldii_56071 XGC-364 466
Alistipes_finegoldii_56071 XGC-428 424
Alistipes_finegoldii_56071 XHB-064 427
Alistipes_finegoldii_56071 XIC-064 529
Alistipes_finegoldii_56071 XLB-029 409
Alistipes_finegoldii_56071 XLB-036 456
Alistipes_finegoldii_56071 XLB-064 355
Alistipes_finegoldii_56071 XLB-172 351
Alistipes_finegoldii_56071 XMB-064 546
Alistipes_finegoldii_56071 XOB-001 897
Alistipes_finegoldii_56071 XOB-028 737
Alistipes_finegoldii_56071 XOB-036 932
Alistipes_finegoldii_56071 XOB-064 1006
Alistipes_finegoldii_56071 XOB-129 981
Alistipes_finegoldii_56071 XPB-008 422
Alistipes_finegoldii_56071 XPB-028 382
Alistipes_finegoldii_56071 XPB-036 396
Alistipes_finegoldii_56071 XPB-063 486
Alistipes_finegoldii_56071 XPB-139 412
Alistipes_finegoldii_56071 XQA-001 730
Alistipes_finegoldii_56071 XQA-009 663
Alistipes_finegoldii_56071 XQA-022 659
Alistipes_finegoldii_56071 XQA-024 564
Alistipes_finegoldii_56071 XQA-028 596
Alistipes_finegoldii_56071 XQA-029 689
