sample1 sample2 value method subject timepoint
XBA-001 XBA-653 0.384329673517898 jsd XBA 653
XBA-001 XBA-677 0.302239760097311 jsd XBA 677
XBA-001 XBA-698 0.443503909068245 jsd XBA 698
XBA-001 XBA-705 0.320130171971154 jsd XBA 705
XBA-001 XBA-706 0.303982548418621 jsd XBA 706
XBA-001 XBA-707 0.3072178190747 jsd XBA 707
XBA-001 XBA-709 0.311979649112464 jsd XBA 709
XBA-001 XBA-710 0.319123279191763 jsd XBA 710
XBA-001 XBA-712 0.323314428935732 jsd XBA 712
XBA-001 XBA-713 0.291548439247261 jsd XBA 713
XBA-001 XBA-714 0.392288931186948 jsd XBA 714
XBA-001 XBA-716 0.280434334496427 jsd XBA 716
XBA-001 XBA-718 0.339895017776741 jsd XBA 718
XBA-001 XBA-722 0.395397077040777 jsd XBA 722
XBA-001 XBA-727 0.408187035292775 jsd XBA 727
XBA-001 XBA-734 0.353449918139331 jsd XBA 734
XBA-001 XBA-742 0.342968476542688 jsd XBA 742
XBA-001 XBA-749 0.330720280640843 jsd XBA 749
XBA-001 XBA-754 0.305679795363903 jsd XBA 754
XBA-001 XBA-767 0.310739524443102 jsd XBA 767
XBA-001 XBA-779 0.35551782862867 jsd XBA 779
XBA-001 XBA-787 0.274666683492699 jsd XBA 787
XBA-001 XBA-794 0.32254992378327 jsd XBA 794
XBA-001 XBA-806 0.329199746837478 jsd XBA 806
XBA-001 XBA-813 0.297495336071189 jsd XBA 813
XBA-001 XBA-821 0.305669348029596 jsd XBA 821
XBA-001 XBA-828 0.280936477851609 jsd XBA 828
XBA-001 XBA-835 0.340972516838964 jsd XBA 835
XBA-001 XBA-849 0.29892832041877 jsd XBA 849
XBA-001 XBA-871 0.378000110105132 jsd XBA 871
XBA-001 XBA-897 0.329682016413517 jsd XBA 897
XBA-001 XBA-898 0.296333960488166 jsd XBA 898
XBA-001 XBA-901 0.310273548081431 jsd XBA 901
XBA-001 XBA-907 0.350618855222637 jsd XBA 907
XBA-001 XBA-910 0.315928531155189 jsd XBA 910
XBB-001 XBB-029 0.0214857713713551 jsd XBB 29
XBB-001 XBB-034 0.0260437821221163 jsd XBB 34
XBB-001 XBB-036 0.12547975898991 jsd XBB 36
XBB-001 XBB-064 0.0622226307175 jsd XBB 64
XBB-001 XBB-066 0.0679118434346839 jsd XBB 66
XBB-001 XBB-106 0.073129753565958 jsd XBB 106
XBB-001 XBB-136 0.0505061476619387 jsd XBB 136
XBB-001 XBB-170 0.0384514118771692 jsd XBB 170
XBB-001 XBB-204 0.123563284363545 jsd XBB 204
XBB-001 XBB-240 0.0717854539609337 jsd XBB 240
XBB-001 XBB-274 0.0370408338368187 jsd XBB 274
XBB-001 XBB-303 0.0515521664558368 jsd XBB 303
XBB-001 XBB-330 0.0706693894698599 jsd XBB 330
XBB-001 XBB-351 0.0757071653037684 jsd XBB 351
XBB-001 XBB-380 0.065569395062196 jsd XBB 380
XBB-001 XBB-415 0.0908059406068065 jsd XBB 415
XBB-001 XBB-422 0.0550858430283136 jsd XBB 422
XBB-001 XBB-430 0.0552426960881653 jsd XBB 430
XBB-001 XBB-436 0.0412234611306825 jsd XBB 436
XBB-001 XBB-443 0.0675607374159186 jsd XBB 443
XBB-001 XBB-456 0.151330082684049 jsd XBB 456
XBB-001 XBB-464 0.0596775761901218 jsd XBB 464
XBB-001 XBB-478 0.0563526924886785 jsd XBB 478
XBB-001 XBB-493 0.0670196415469087 jsd XBB 493
XBB-001 XBB-499 0.0630190479999226 jsd XBB 499
XBB-001 XBB-513 0.363283277890667 jsd XBB 513
XBB-001 XBB-519 0.0672345245525643 jsd XBB 519
XBB-001 XBB-541 0.0979687185490514 jsd XBB 541
XBB-001 XBB-555 0.0795010500238288 jsd XBB 555
XBB-001 XBB-569 0.0853056703637264 jsd XBB 569
XBB-001 XBB-582 0.0691500577100027 jsd XBB 582
XBB-001 XBB-588 0.0532231754873517 jsd XBB 588
XBB-001 XBB-597 0.0700823510863846 jsd XBB 597
XBB-001 XBB-617 0.0872421707953721 jsd XBB 617
XBB-001 XBB-625 0.0849081532255226 jsd XBB 625
XBB-001 XBB-641 0.0969855618672129 jsd XBB 641
XBB-001 XBB-656 0.0868978077452998 jsd XBB 656
XBB-001 XBB-679 0.075469871676688 jsd XBB 679
XBB-001 XBB-701 0.0676396282383188 jsd XBB 701
XBB-001 XBB-717 0.0923255356501721 jsd XBB 717
XBB-001 XBB-725 0.0634794439799845 jsd XBB 725
XBB-001 XBB-737 0.0672042391686438 jsd XBB 737
XBB-001 XBB-745 0.0640707705669199 jsd XBB 745
XBB-001 XBB-754 0.0990977072062536 jsd XBB 754
XBB-001 XBB-773 0.0737901792367614 jsd XBB 773
XBB-001 XBB-779 0.119231368716009 jsd XBB 779
XBB-001 XBB-811 0.114329097335796 jsd XBB 811
XBB-001 XBB-856 0.201779500832181 jsd XBB 856
XBB-001 XBB-900 0.106511281955212 jsd XBB 900
XCA-001 XCA-008 0.0733187032346293 jsd XCA 8
XCA-001 XCA-015 0.0899256995667924 jsd XCA 15
XCA-001 XCA-022 0.0349907766081294 jsd XCA 22
XCA-001 XCA-023 0.0302813973667717 jsd XCA 23
XCA-001 XCA-024 0.30151889641179 jsd XCA 24
XCA-001 XCA-025 0.045508140787851 jsd XCA 25
XCA-001 XCA-026 0.0459040115671711 jsd XCA 26
XCA-001 XCA-027 0.0362734876323316 jsd XCA 27
XCA-001 XCA-029 0.0861357974251292 jsd XCA 29
XCA-001 XCA-030 0.0397336679278867 jsd XCA 30
XCA-001 XCA-031 0.0704863262507651 jsd XCA 31
XCA-001 XCA-032 0.117296640532227 jsd XCA 32
XCA-001 XCA-033 0.19090743298465 jsd XCA 33
XCA-001 XCA-034 0.199367403326829 jsd XCA 34
XCA-001 XCA-035 0.173998992599519 jsd XCA 35
XCA-001 XCA-036 0.151892511161422 jsd XCA 36
XCA-001 XCA-037 0.155044517731624 jsd XCA 37
XCA-001 XCA-038 0.173874542906924 jsd XCA 38
XCA-001 XCA-039 0.128716921260258 jsd XCA 39
XCA-001 XCA-040 0.131160383737927 jsd XCA 40
XCA-001 XCA-044 0.322348198866476 jsd XCA 44
XCA-001 XCA-050 0.11643256834131 jsd XCA 50
XCA-001 XCA-057 0.129372963256327 jsd XCA 57
XCA-001 XCA-064 0.11796250790951 jsd XCA 64
XCA-001 XCA-258 0.127642384751567 jsd XCA 258
XCA-001 XCA-317 0.102130380858508 jsd XCA 317
XCA-001 XCA-409 0.0907122329328717 jsd XCA 409
XCA-001 XCA-498 0.10636986388916 jsd XCA 498
XCA-001 XCA-604 0.133220574901435 jsd XCA 604
XCA-001 XCA-695 0.139224679132263 jsd XCA 695
