species subject1 subject2 sharedStrainFishing
Parabacteroides_distasonis_56985 XNA XNB FALSE
Parabacteroides_distasonis_56985 XQA XQB FALSE
Parabacteroides_distasonis_56985 XRA XRB FALSE
Parabacteroides_distasonis_56985 XTA XTB FALSE
Parabacteroides_distasonis_56985 XUA XUB FALSE
Parabacteroides_distasonis_56985 YBA YBB FALSE
Parabacteroides_distasonis_56985 YBA YBC TRUE
Parabacteroides_distasonis_56985 YBB YBC FALSE
Parabacteroides_distasonis_56985 YCA YCB TRUE
Parabacteroides_distasonis_56985 YEB YEC FALSE
Parabacteroides_distasonis_56985 ZCA ZCB FALSE
Parabacteroides_distasonis_56985 ZDA ZDB TRUE
Parabacteroides_distasonis_56985 ZEA ZEC FALSE
Parabacteroides_johnsonii_55217 XDA XDB FALSE
Parabacteroides_merdae_56972 XAA XAC TRUE
Parabacteroides_merdae_56972 XFA XFB TRUE
Parabacteroides_merdae_56972 XGA XGB TRUE
Parabacteroides_merdae_56972 XGA XGC TRUE
Parabacteroides_merdae_56972 XGB XGC TRUE
Parabacteroides_merdae_56972 XUA XUB FALSE
Parabacteroides_merdae_56972 YEA YEB FALSE
Parabacteroides_merdae_56972 YEA YEC FALSE
Parabacteroides_merdae_56972 YEB YEC FALSE
Parabacteroides_merdae_56972 ZAA ZAB TRUE
Parabacteroides_merdae_56972 ZAA ZAC FALSE
Parabacteroides_merdae_56972 ZAB ZAC FALSE
Parabacteroides_merdae_56972 ZCA ZCB FALSE
Parabacteroides_merdae_56972 ZDA ZDB FALSE
Parabacteroides_merdae_56972 ZEA ZEB FALSE
Parabacteroides_merdae_56972 ZEA ZEC FALSE
Parabacteroides_merdae_56972 ZEB ZEC FALSE
Paraprevotella_clara_33712 XUA XUB FALSE
Phascolarctobacterium_sp_59817 XAA XAC FALSE
Phascolarctobacterium_sp_59817 XFA XFB FALSE
Phascolarctobacterium_sp_59817 XLA XLB TRUE
Phascolarctobacterium_sp_59817 YBA YBC TRUE
Phascolarctobacterium_sp_59817 YBB YBC FALSE
Prevotella_copri_61740 XHA XHB FALSE
Prevotella_copri_61740 XIB XIC TRUE
Prevotella_copri_61740 YAC YAD TRUE
Prevotella_copri_61740 YFA YFC TRUE
Prevotella_copri_61740 ZAA ZAC TRUE
Roseburia_hominis_61877 XBA XBB FALSE
Roseburia_hominis_61877 XEA XEB FALSE
Roseburia_hominis_61877 XFA XFB FALSE
Roseburia_hominis_61877 YAC YAD FALSE
Roseburia_hominis_61877 YBA YBC FALSE
Roseburia_hominis_61877 YEA YEB FALSE
Roseburia_hominis_61877 ZCA ZCB TRUE
Roseburia_hominis_61877 ZDA ZDB FALSE
Roseburia_hominis_61877 ZEA ZEB FALSE
Roseburia_hominis_61877 ZEB ZEC FALSE
Roseburia_intestinalis_56239 XLA XLB TRUE
Roseburia_intestinalis_56239 YAA YAB FALSE
Roseburia_intestinalis_56239 YAA YAC FALSE
Roseburia_intestinalis_56239 YAA YAD FALSE
Roseburia_intestinalis_56239 YAB YAC FALSE
Roseburia_intestinalis_56239 YAB YAD FALSE
Roseburia_intestinalis_56239 YAC YAD FALSE
Roseburia_intestinalis_56239 YEA YEB FALSE
Roseburia_intestinalis_56239 YEA YEC FALSE
Roseburia_intestinalis_56239 YEB YEC FALSE
Roseburia_intestinalis_56239 ZCA ZCB FALSE
Roseburia_intestinalis_56239 ZDA ZDB FALSE
Roseburia_inulinivorans_61943 XAA XAC FALSE
Roseburia_inulinivorans_61943 XBA XBB FALSE
Roseburia_inulinivorans_61943 XEA XEB FALSE
Roseburia_inulinivorans_61943 XHA XHB FALSE
Roseburia_inulinivorans_61943 XHA XHC FALSE
Roseburia_inulinivorans_61943 XHB XHC FALSE
Roseburia_inulinivorans_61943 XIA XIB FALSE
Roseburia_inulinivorans_61943 XIA XIC FALSE
Roseburia_inulinivorans_61943 XTA XTB FALSE
Roseburia_inulinivorans_61943 XUA XUB FALSE
Roseburia_inulinivorans_61943 YAB YAC FALSE
Roseburia_inulinivorans_61943 YAB YAD FALSE
Roseburia_inulinivorans_61943 ZCA ZCB TRUE
Roseburia_inulinivorans_61943 ZDA ZDB FALSE
Ruminococcus_bicirculans_59300 XFA XFB FALSE
Ruminococcus_bicirculans_59300 XHA XHC FALSE
Ruminococcus_bicirculans_59300 XIA XIB FALSE
Ruminococcus_bicirculans_59300 YAA YAB FALSE
Ruminococcus_bicirculans_59300 YAA YAD FALSE
Ruminococcus_bicirculans_59300 YEA YEB FALSE
Ruminococcus_bromii_62047 XIA XIB TRUE
Ruminococcus_bromii_62047 XLA XLB FALSE
Ruminococcus_bromii_62047 XQA XQB FALSE
Ruminococcus_bromii_62047 YBA YBB FALSE
Ruminococcus_bromii_62047 YCA YCB FALSE
Ruminococcus_sp_55468 XAA XAD FALSE
Ruminococcus_sp_55468 XLA XLB FALSE
Ruminococcus_sp_55468 XNA XNB FALSE
Ruminococcus_sp_55468 XQA XQB FALSE
Ruminococcus_sp_55468 XUA XUB FALSE
Ruminococcus_sp_55468 ZAA ZAB FALSE
Ruminococcus_sp_55468 ZAB ZAC TRUE
Ruminococcus_sp_55468 ZEA ZEB FALSE
Ruminococcus_torques_62045 YEB YEC FALSE
Ruminococcus_torques_62045 ZAA ZAC FALSE
Sutterella_wadsworthensis_56828 XEA XEB FALSE
Sutterella_wadsworthensis_56828 YCA YCB TRUE
Sutterella_wadsworthensis_56828 ZAA ZAB TRUE
Sutterella_wadsworthensis_56828 ZAA ZAC TRUE
Sutterella_wadsworthensis_56828 ZAB ZAC TRUE
