species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Alistipes_putredinis_61533 XDA TRUE FALSE NA FALSE TRUE TRUE
Alistipes_putredinis_61533 XDB TRUE FALSE NA FALSE TRUE TRUE
Alistipes_putredinis_61533 XEA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XEB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XFA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XFB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XIA TRUE TRUE TRUE TRUE NA TRUE
Alistipes_putredinis_61533 XIB TRUE TRUE TRUE TRUE FALSE TRUE
Alistipes_putredinis_61533 XIC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XLA TRUE FALSE NA TRUE NA NA
Alistipes_putredinis_61533 XLB TRUE FALSE NA TRUE NA NA
Alistipes_putredinis_61533 XPA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XPB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XQA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XQB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XUA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XUB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 YAC FALSE NA FALSE FALSE NA FALSE
Alistipes_putredinis_61533 YAD FALSE NA FALSE FALSE NA FALSE
Alistipes_putredinis_61533 YBA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 YBB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 YBC TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 YEA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 YEB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 YEC FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 YFA TRUE NA TRUE TRUE NA TRUE
Alistipes_putredinis_61533 YFC TRUE NA TRUE TRUE NA TRUE
Alistipes_putredinis_61533 ZAA TRUE NA NA NA TRUE TRUE
Alistipes_putredinis_61533 ZAC TRUE NA NA NA TRUE TRUE
Alistipes_putredinis_61533 ZCA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 ZCB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 ZEA FALSE FALSE FALSE FALSE NA FALSE
Alistipes_putredinis_61533 ZEC FALSE FALSE FALSE FALSE NA FALSE
Alistipes_senegalensis_58364 XFA TRUE TRUE NA TRUE NA NA
Alistipes_senegalensis_58364 XFB TRUE TRUE NA TRUE NA NA
Alistipes_senegalensis_58364 YAC FALSE NA FALSE FALSE NA FALSE
Alistipes_senegalensis_58364 YAD FALSE NA FALSE FALSE NA FALSE
Alistipes_senegalensis_58364 ZCA TRUE TRUE NA TRUE TRUE TRUE
Alistipes_senegalensis_58364 ZCB TRUE TRUE NA TRUE TRUE TRUE
Alistipes_shahii_62199 XAA TRUE NA NA NA NA TRUE
Alistipes_shahii_62199 XAC TRUE NA NA NA NA TRUE
Alistipes_shahii_62199 XCA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XCB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XDA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XDB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XFA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XFB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XIA TRUE TRUE NA TRUE NA NA
Alistipes_shahii_62199 XIB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_shahii_62199 XIC TRUE TRUE FALSE TRUE FALSE FALSE
Alistipes_shahii_62199 XNA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XNB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XTA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XTB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XUA FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 XUB FALSE FALSE NA FALSE NA NA
Alistipes_shahii_62199 YAB FALSE FALSE FALSE FALSE NA FALSE
Alistipes_shahii_62199 YAC FALSE FALSE FALSE FALSE NA FALSE
Alistipes_shahii_62199 YAD FALSE FALSE FALSE FALSE NA FALSE
Alistipes_shahii_62199 YBA TRUE NA NA NA TRUE TRUE
Alistipes_shahii_62199 YBC TRUE NA NA NA TRUE TRUE
Alistipes_shahii_62199 ZCA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_shahii_62199 ZCB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_shahii_62199 ZEA FALSE FALSE FALSE FALSE NA FALSE
Alistipes_shahii_62199 ZEC FALSE FALSE FALSE FALSE NA FALSE
