species sample1 sample2 subject1 subject2 hh1 hh2 timepoint1 timepoint2 sharedFixedDiffs sharedStrainFishing concordant consensusConservative consensusPermissive consensusFixedDiffs consensusStrainFishing consensusNA keyTimepoint1 keyTimepoint2
Eubacterium_rectale_56927 XAA-002 XDA-001 XAA XDA XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XDA-001 XAA XDA XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XDA-001 XAA XDA XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XDA-001 XAA XDA XA XD 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_faecis_58503 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_fragilis_54507 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_nordii_55557 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE NA NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bifidobacterium_longum_57796 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XDB-001 XAA XDB XA XD 2 1 TRUE FALSE FALSE FALSE TRUE TRUE FALSE NA initial initial
Parabacteroides_distasonis_56985 XAA-002 XDB-001 XAA XDB XA XD 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XEA-001 XAA XEA XA XE 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XEA-001 XAA XEA XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bifidobacterium_adolescentis_56815 XAA-002 XEA-001 XAA XEA XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XEA-001 XAA XEA XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XEA-001 XAA XEA XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XEA-001 XAA XEA XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Alistipes_onderdonkii_55464 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XEB-001 XAA XEB XA XE 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Blautia_wexlerae_56130 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE NA NA FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XEB-001 XAA XEB XA XE 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XEB-001 XAA XEB XA XE 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Alistipes_onderdonkii_55464 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Anaerostipes_hadrus_55206 XAA-002 XFA-001 XAA XFA XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XFA-001 XAA XFA XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_fragilis_54507 XAA-002 XFA-001 XAA XFA XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Blautia_wexlerae_56130 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE NA NA FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_ventriosum_61474 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XFA-001 XAA XFA XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Phascolarctobacterium_sp_59817 XAA-002 XFA-001 XAA XFA XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XFA-001 XAA XFA XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Alistipes_onderdonkii_55464 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE TRUE FALSE FALSE TRUE FALSE TRUE NA initial initial
Bacteroides_uniformis_57318 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bilophila_wadsworthia_57364 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE NA NA FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_ventriosum_61474 XAA-002 XFB-001 XAA XFB XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XFB-001 XAA XFB XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
