,median_freq,time,25th_Percentile,75th_Percentile,diversity,median_depth,relative_abundance
HouseholdTransmission-Stool-XCA-001,0.0694,1,0.0286,0.125,0.00020797188928566083,35.0,0.0202279457478
HouseholdTransmission-Stool-XCA-023,0.042,23,0.0,0.0952,0.00010016707746365965,20.0,0.05530117682709999
HouseholdTransmission-Stool-XCA-036,0.978,36,0.946,1.0,0.00016702346175819215,66.0,0.0313349273696
HouseholdTransmission-Stool-XCA-050,1.0,50,1.0,1.0,9.496119415381026e-05,20.0,0.08046880656889999
HouseholdTransmission-Stool-XCA-057,1.0,57,0.9565,1.0,0.00014625601397706743,20.0,0.161297626232
HouseholdTransmission-Stool-XCA-064,1.0,64,0.98,1.0,6.318581023744433e-05,90.0,0.06080625753959999
