subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 40 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 44 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 44 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 44 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 44 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 44 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 45 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 45 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 45 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 45 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 45 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 46 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 46 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 46 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 46 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 46 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 47 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 47 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 47 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 47 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 47 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 48 strain1 Bacteroides_vulgatus_57955 0 0 0
