subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 134 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 134 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 171 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 171 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 171 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 240 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 240 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 240 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 272 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 272 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 272 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 303 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 303 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 303 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 330 strain1 Bifidobacterium_longum_57796 0.107506028365 0 0
XBA 330 strain2 Bifidobacterium_longum_57796 0.107506028365 1 0.107506028365
XBA 330 strainUnknown Bifidobacterium_longum_57796 0.107506028365 0 0
XBA 351 strain1 Bifidobacterium_longum_57796 0.0734839505321 0 0
XBA 351 strain2 Bifidobacterium_longum_57796 0.0734839505321 1 0.0734839505321
XBA 351 strainUnknown Bifidobacterium_longum_57796 0.0734839505321 0 0
XBA 358 strain1 Bifidobacterium_longum_57796 0.0323944465003 0 0
XBA 358 strain2 Bifidobacterium_longum_57796 0.0323944465003 1 0.0323944465003
XBA 358 strainUnknown Bifidobacterium_longum_57796 0.0323944465003 0 0
XBA 364 strain1 Bifidobacterium_longum_57796 0.171768831546 0 0
XBA 364 strain2 Bifidobacterium_longum_57796 0.171768831546 1 0.171768831546
XBA 364 strainUnknown Bifidobacterium_longum_57796 0.171768831546 0 0
XBA 374 strain1 Bifidobacterium_longum_57796 0.044828244035 0 0
