species numPairs numSubjects numHouseholds numWithinHouseholdPairs numSamples
Parabacteroides_goldsteinii_56831 21 4 4 0 7
Ruminococcaceae_bacterium_61777 21 2 2 0 7
Bifidobacterium_angulatum_45832 15 2 2 0 6
Blautia_hansenii_56031 15 1 1 0 6
Clostridiales_bacterium_55184 15 1 1 0 6
Collinsella_intestinalis_61689 15 1 1 0 6
Enterobacter_aerogenes_55704 15 1 1 0 6
Intestinimonas_butyriciproducens_60001 15 3 3 0 6
Lachnospiraceae_bacterium_62050 15 1 1 0 6
Veillonella_atypica_58169 15 2 2 0 6
Alistipes_sp_60764 10 3 2 3 5
Bacteroides_coprophilus_61767 10 1 1 0 5
Bifidobacterium_animalis_58116 10 4 3 1 5
Collinsella_tanakaei_62212 10 1 1 0 5
Lachnospiraceae_bacterium_56833 10 1 1 0 5
Ruminococcus_obeum_62046 10 1 1 0 5
Coprobacillus_sp_47700 6 1 1 0 4
Coriobacteriaceae_bacterium_58375 6 1 1 0 4
Fusobacterium_mortiferum_61584 6 2 1 4 4
Megasphaera_sp_59658 6 1 1 0 4
Clostridium_sp_60465 3 2 2 0 3
Collinsella_sp_60729 3 1 1 0 3
Enterobacter_cloacae_57303 3 1 1 0 3
Klebsiella_oxytoca_54123 3 1 1 0 3
Klebsiella_pneumoniae_54688 3 2 2 1 3
Klebsiella_pneumoniae_54788 3 2 2 0 3
Odoribacter_laneus_62216 3 1 1 0 3
Phascolarctobacterium_succinatutens_61948 3 1 1 0 3
Prevotella_buccae_56058 3 2 2 0 3
Prevotella_oris_57058 3 1 1 0 3
