sample totalReads
XGA-008 13827
XGA-015 23562
XGA-022 8455
XGA-023 6576
XGA-024 21124
XGA-025 11162
XGA-026 4993
XGA-027 6229
XGA-028 7688
XGA-029 83828
XGA-030 10042
XGA-031 13232
XGA-032 10657
XGA-033 6550
XGA-034 3224
XGA-035 6900
XGA-036 61383
XGA-037 4726
XGA-038 7932
XGA-039 16039
XGA-040 6439
XGA-044 24731
XGA-050 20086
XGA-057 20358
XGA-064 75870
XGA-252 73399
XGA-364 15642
XGA-428 8160
XGB-001 72498
XGB-029 93656
XGB-036 89580
XGB-064 62740
XGB-252 79340
XGB-365 14850
XGB-428 46325
XGC-001 110697
XGC-029 64073
XGC-037 60544
XGC-064 62549
XGC-252 125757
XGC-364 32989
XGC-428 18425
XHA-003 124811
XHA-029 84785
XHA-036 67517
XHA-064 66105
XHA-262 90552
XHA-321 121750
XHA-410 8502
XHB-001 35330
XHB-029 66560
XHB-036 74607
XHB-064 90874
XHB-262 67487
XHB-324 55954
XHB-412 9049
XHB-505 8129
XHC-001 75207
XHC-008 6546
XHC-015 17873
XHC-022 3777
XHC-023 7774
XHC-024 6332
XHC-025 10390
XHC-027 14109
XHC-028 5377
XHC-029 51685
XHC-030 4384
XHC-031 7482
XHC-032 5715
XHC-033 7165
XHC-034 18160
XHC-035 1229
XHC-036 87207
XHC-037 4464
XHC-038 9491
XHC-039 18218
XHC-040 8403
XHC-044 11102
XHC-050 7922
XHC-057 8511
XHC-064 61029
XHC-262 88466
XHC-323 70952
XHC-412 31036
XHC-505 15539
XIA-002 33960
XIA-008 41625
XIA-015 27972
XIA-022 16532
XIA-023 14096
XIA-024 23390
XIA-025 19759
XIA-026 41948
XIA-027 33097
XIA-028 32825
XIA-029 65239
XIA-030 12941
XIA-031 11255
XIA-032 18621
XIA-033 16510
XIA-034 57254
XIA-035 26528
XIA-036 45295
XIA-037 11329
XIA-038 14719
XIA-039 24050
XIA-040 9882
XIA-045 31100
XIA-050 31924
XIA-057 67289
XIA-064 92834
XIA-199 57661
XIA-259 96212
XIA-277 60751
XIB-002 62605
XIB-029 74423
XIB-036 71866
XIB-064 77567
XIB-199 109252
XIB-259 105000
XIB-277 98663
XIC-008 67784
XIC-015 17697
XIC-022 12989
XIC-023 4309
XIC-024 24443
XIC-025 13525
XIC-026 11734
XIC-027 16039
XIC-028 22713
XIC-029 91403
XIC-030 10006
XIC-031 16571
XIC-032 15254
XIC-033 14815
XIC-034 19521
XIC-035 11091
XIC-036 87272
XIC-039 12326
XIC-043 12049
XIC-050 11649
XIC-057 21421
XIC-064 95897
XIC-198 103396
XJA-001 19342
XJA-008 10027
XJA-015 4659
XJA-022 10450
XJA-023 7275
XJA-024 7227
XJA-025 3407
XJA-026 7050
XJA-027 3560
XJA-028 6026
XJA-029 20632
XJA-030 8563
XJA-031 3886
XJA-032 5920
XJA-033 12047
XJA-034 10057
XJA-035 10395
XJA-036 112746
XJA-037 7864
XJA-038 6578
XJA-039 9951
XJA-040 9958
XJA-043 3175
XJA-050 3290
XJA-057 5604
XJA-064 20889
XJB-001 241978
XJB-029 80945
XJB-036 104247
XJB-064 102246
XKA-001 64916
XKA-008 17809
XKA-015 2589
XKA-022 21071
XKA-023 14976
XKA-024 9838
XKA-025 35363
XKA-026 58886
XKA-028 7336
XKA-029 75325
XKA-030 1732
XKA-031 3585
XKA-032 77666
XKA-033 70604
XKA-034 41069
XKA-035 7990
XKA-036 66422
XKA-037 6231
XKA-038 9680
XKA-039 4739
XKA-040 37499
XKA-043 20392
XKA-050 40801
XKA-057 9620
XKA-064 94584
XKA-142 64214
XKA-205 78123
XKA-289 21759
XKA-332 20055
XKA-359 18516
XKA-386 31245
XKA-422 14774
XKA-580 125624
XKA-694 95937
XKB-001 88527
XKB-029 125058
XKB-036 75607
XKB-064 124225
XKB-142 93176
XKB-204 95486
XKB-287 14033
XKB-332 28050
XKB-362 132120
XKB-381 27593
XKB-399 28404
XKB-467 127241
XKB-580 121217
XKB-693 100879
XLA-001 75641
XLA-008 9281
XLA-022 17547
XLA-023 11087
XLA-024 9382
XLA-025 12185
XLA-026 12443
XLA-027 10725
XLA-028 10553
XLA-029 69248
XLA-030 15757
XLA-031 7486
XLA-032 42299
XLA-033 13944
XLA-034 8495
XLA-035 15564
XLA-036 63521
XLA-037 12817
XLA-043 13756
XLA-050 12655
XLA-057 502
XLA-064 102044
XLA-148 99254
XLB-001 67954
XLB-029 67146
XLB-036 51336
XLB-064 69456
XLB-172 95282
XLB-294 14422
XMA-001 71160
XMA-008 14103
XMA-015 11010
XMA-022 14544
XMA-023 8182
XMA-024 13745
XMA-025 14304
XMA-026 6301
XMA-027 10713
XMA-028 9278
XMA-029 77332
XMA-030 7781
XMA-031 11802
XMA-032 6726
XMA-034 7452
XMA-035 6333
XMA-036 53707
XMA-037 4967
XMA-038 7917
XMA-039 4743
XMA-040 11391
XMA-043 13288
XMA-050 19150
XMA-057 10504
XMA-064 131925
XMA-116 85885
XMA-180 114972
XMA-264 34156
XMA-359 21260
XMB-001 36097
XMB-029 33838
XMB-036 19687
XMB-064 30763
XMB-116 39074
XMB-180 31480
XMB-264 9842
XMB-359 11160
XNA-001 64781
XNA-008 9395
XNA-015 39797
XNA-022 8680
XNA-023 10556
XNA-024 13171
XNA-025 19367
XNA-026 12745
XNA-027 9882
XNA-028 10548
XNA-029 64777
XNA-030 8677
XNA-031 5871
XNA-032 5584
XNA-033 9788
XNA-034 10871
XNA-036 64741
XNA-037 9239
XNA-038 9757
XNA-039 9889
XNA-040 9206
XNA-043 12297
XNA-050 17311
XNA-057 16852
XNA-064 102547
XNB-001 79705
XNB-029 60495
XNB-036 63923
XNB-064 114943
XOA-001 61841
XOA-008 23290
XOA-015 17829
XOA-021 11966
XOA-022 17257
XOA-023 59972
XOA-024 19466
XOA-025 11940
XOA-026 12554
XOA-027 14791
XOA-028 16618
XOA-029 78592
XOA-030 18059
XOA-031 14186
XOA-032 16819
XOA-033 7516
XOA-034 19498
XOA-035 6612
XOA-036 86907
XOA-037 20711
XOA-038 40772
XOA-039 33991
XOA-043 36679
XOA-050 39056
XOA-057 20114
XOA-064 68079
XOA-129 72500
XOA-220 15812
XOA-498 62809
XOB-001 69615
XOB-028 50379
XOB-036 84813
XOB-064 99444
XOB-129 80585
XOB-220 3631
XOB-498 12369
XPA-002 135902
XPA-009 11878
XPA-019 12357
XPA-023 10048
XPA-029 60275
XPA-030 11321
XPA-031 10077
XPA-032 10669
XPA-035 15037
XPA-036 66287
XPA-037 4982
XPA-039 16019
XPA-043 8812
XPA-049 8686
XPA-056 9860
XPA-072 113641
XPA-151 133410
XPB-008 46511
XPB-028 53066
XPB-036 43431
XPB-063 82199
XPB-139 83948
XQA-001 102543
XQA-009 17324
XQA-015 26689
XQA-022 39325
XQA-024 16970
XQA-025 17876
XQA-026 9156
XQA-027 12437
XQA-028 17723
XQA-029 251304
XQA-030 27004
XQA-031 26981
XQA-032 5460
XQA-033 9675
XQA-034 7023
XQA-035 19783
XQA-036 93383
XQA-037 53875
XQA-038 40573
XQA-039 29090
XQA-040 26551
XQA-043 14512
XQA-050 20040
XQA-057 11885
XQA-064 329940
XQA-133 67825
XQA-244 54891
XQA-351 5600
XQA-455 16640
XQA-532 26809
XQA-648 20524
XQB-001 64596
XQB-029 72685
XQB-036 55967
XQB-064 78751
XQB-133 84134
XQB-243 11667
XQB-348 52668
XQB-452 18725
XQB-531 31500
XQB-647 28006
XRA-001 61314
XRA-008 19631
XRA-015 14699
XRA-022 33207
XRA-023 30297
XRA-024 25843
XRA-025 11299
XRA-026 30301
XRA-027 12536
XRA-028 33069
XRA-029 90454
XRA-030 9013
XRA-031 12496
XRA-032 14251
XRA-033 12256
XRA-034 11321
XRA-035 37126
XRA-036 72572
XRA-037 16133
XRA-038 24348
XRA-039 18740
XRA-040 17156
XRA-045 15493
XRA-052 26773
XRA-059 30008
XRA-064 61301
XRA-153 162887
XRA-310 14350
XRB-002 46776
XRB-029 51829
XRB-036 58149
XRB-059 66241
XRB-153 88152
XRB-305 11411
XRB-347 13054
XSA-001 102881
XSA-008 23644
XSA-015 21250
XSA-022 16183
XSA-023 15288
XSA-024 12964
XSA-025 16832
XSA-026 7153
XSA-027 13235
XSA-028 14322
XSA-029 80460
XSA-030 23078
XSA-031 16270
XSA-032 13381
XSA-033 9848
XSA-034 32570
XSA-035 16951
XSA-036 91722
XSA-037 5506
XSA-038 7107
XSA-039 13454
XSA-040 17624
XSA-043 15929
XSA-050 22808
XSA-057 16038
XSA-064 76308
XSA-239 27347
XSA-333 17118
XSA-428 15290
XSA-534 30556
XSB-001 80664
XSB-029 57208
XSB-036 90650
XSB-064 42472
XSB-147 92235
XSB-240 36132
XSB-333 11240
XSB-428 18656
XSB-533 25017
XTA-001 41632
XTA-008 7987
XTA-016 13553
XTA-022 8345
XTA-023 12844
XTA-024 12492
XTA-026 23518
XTA-027 8296
XTA-028 9160
XTA-029 27415
XTA-030 13673
XTA-031 7870
XTA-032 6091
XTA-033 2255
XTA-034 8680
XTA-035 11166
XTA-036 29899
XTA-037 11650
XTA-038 9959
XTA-039 21579
XTA-040 9777
XTA-041 8733
XTA-042 7816
XTA-043 8230
XTA-050 5517
XTA-057 6406
XTA-064 31481
XTB-001 23643
XTB-028 22507
XTB-038 14187
XTB-065 28111
XUA-001 53507
XUA-008 11796
XUA-015 11555
XUA-022 7647
XUA-029 35831
XUA-030 5716
XUA-031 5511
XUA-032 11113
XUA-033 8847
XUA-034 14886
XUA-035 6919
XUA-036 39398
XUA-037 2446
XUA-038 5551
XUA-039 8368
XUA-040 9431
XUA-043 8959
XUA-050 5929
XUA-057 4044
XUA-064 103613
XUA-129 60879
XUA-221 16012
XUA-318 8960
XUA-397 9929
XUA-507 10979
XUA-623 6283
XUB-001 72665
XUB-029 46618
XUB-036 43668
XUB-064 93349
XUB-130 103568
XUB-221 20821
XUB-319 11593
XUB-398 2975
XVA-001 56293
XVA-009 10929
XVA-015 25711
XVA-022 19307
XVA-023 18462
XVA-024 28912
XVA-027 11608
XVA-029 54624
XVA-030 16836
XVA-031 19984
XVA-032 19939
XVA-033 33278
XVA-034 18325
XVA-035 11244
XVA-036 32073
XVA-037 13264
XVA-038 7098
XVA-039 8002
XVA-040 13411
XVA-041 18187
XVA-043 13030
XVA-050 16428
XVA-057 25059
XVA-064 57588
XVA-129 78535
XVA-216 24420
XVA-309 8140
XVA-398 10261
XVA-617 10036
XVB-001 52735
XVB-027 63436
XVB-036 73374
XVB-064 68802
XVB-129 114614
XVB-217 6595
XVB-310 11307
XVB-399 13842
YAA-001 45571
YAA-064 36427
YAB-001 37009
YAB-064 48166
YAC-001 51161
YAC-064 46468
YAD-001 25695
YAD-064 67626
YBA-004 80052
YBA-043 65484
YBA-260 73368
YBA-360 38594
YBA-435 14950
YBA-522 15609
YBB-029 58141
YBB-050 65850
YBB-260 140855
YBB-360 14832
YBB-435 20222
YBC-001 55012
YBC-043 47461
YBC-260 56696
YBC-360 11153
YBC-435 31037
YCA-001 91853
YCA-064 41065
YCB-001 59784
YCB-064 85021
YDB-006 37361
YEA-004 66402
YEB-001 63264
YEB-002 47137
YEC-005 46222
YFA-002 56064
YFA-064 47814
YFC-064 48106
ZAA-002 48101
ZAA-066 79298
ZAA-263 48816
ZAA-326 59972
ZAA-415 12780
ZAA-504 28220
ZAA-600 20454
ZAA-706 14719
ZAA-817 22456
ZAB-002 68449
ZAB-064 87178
ZAB-256 59767
ZAB-326 98887
ZAB-411 78408
ZAB-504 28913
ZAB-600 26027
ZAB-702 7397
ZAB-813 46753
ZAC-263 103715
ZAC-326 99723
ZAC-411 12997
ZAC-504 20205
ZAC-602 18400
ZAC-709 21463
ZAC-813 19717
ZCA-001 88389
ZCA-064 47572
ZCA-260 40457
ZCA-323 52085
ZCA-408 11182
ZCA-505 5368
ZCA-597 9572
ZCB-001 48903
ZCB-064 38233
ZCB-261 38452
ZCB-323 59736
ZCB-408 10220
ZCB-505 10807
ZCB-597 9795
ZDA-001 37799
ZDA-065 103614
ZDA-260 74990
ZDA-324 50610
ZDA-413 71687
ZDA-503 9756
ZDA-598 30588
ZDB-001 72814
ZDB-064 73223
ZDB-261 107937
ZDB-324 88586
ZDB-411 51642
ZDB-506 20181
ZDB-596 55929
ZEA-001 85032
ZEA-064 69019
ZEB-001 103912
ZEB-064 73918
ZEC-001 64359
ZEC-064 70468
